id,word,start_char,type,chain_id
0	Президент	0	None	None
1	России	10	None	None
2	Владимир	17	coref	334
3	Путин	26	None	None
4	пообещал	32	None	None
5	обеспечить	41	None	None
6	безопасность	52	None	None
7	гостей	65	None	None
8	и	72	None	None
9	участников	74	None	None
10	Олимпиады	85	None	None
11	в	95	None	None
12	Сочи	97	None	None
13	.	101	None	None
14	Об	103	None	None
15	этом	106	None	None
16	глава	111	coref	334
17	государства	117	None	None
18	заявил	129	None	None
19	в	136	None	None
20	ходе	138	None	None
21	интервью	143	None	None
22	ряду	152	None	None
23	российских	157	None	None
24	и	168	None	None
25	иностранных	170	None	None
26	СМИ	182	None	None
27	в	186	None	None
28	Красной	188	None	None
29	Поляне	196	None	None
30	.	202	None	None
31	Надеюсь	204	None	None
32	,	211	None	None
33	что	213	None	None
34	все	217	None	None
35	,	220	None	None
36	что	222	None	None
37	мы	226	None	None
38	делаем	229	None	None
39	,	235	None	None
40	с	237	None	None
41	пониманием	239	None	None
42	,	249	None	None
43	с	251	None	None
44	ясным	253	None	None
45	пониманием	259	None	None
46	оперативной	270	None	None
47	обстановки	282	None	None
48	,	292	None	None
49	которая	294	None	None
50	складывается	302	None	None
51	вокруг	315	None	None
52	Сочи	322	None	None
53	и	327	None	None
54	вообще	329	None	None
55	в	336	None	None
56	этом	338	None	None
57	регионе	343	None	None
58	.	350	None	None
59	У	352	None	None
60	нас	354	None	None
61	есть	358	None	None
62	прекрасное	363	None	None
63	понимание	374	None	None
64	того	384	None	None
65	,	388	None	None
66	что	390	None	None
67	это	394	None	None
68	такое	398	None	None
69	,	403	None	None
70	какова	405	None	None
71	эта	412	None	None
72	угроза	416	coref	335
73	,	422	None	None
74	как	424	None	None
75	ее	428	coref	335
76	купировать	431	None	None
77	,	441	None	None
78	как	443	None	None
79	с	447	None	None
80	этим	449	None	None
81	бороться	454	None	None
82	,	462	None	None
83	—	464	None	None
84	сказал	466	None	None
85	президент	473	coref	334
86	.	482	None	None
