id,word,start_char,type,chain_id
0	В	0	None	None
1	одном	2	None	None
2	из	8	None	None
3	районов	11	None	None
4	Киева	19	None	None
5	оппозиция	25	coref	377
6	запретила	35	None	None
7	правящую	45	None	None
8	Партию	54	None	None
9	регионов	61	None	None
10	,	69	None	None
11	а	71	None	None
12	также	73	None	None
13	Компартию	79	None	None
14	Украины	89	None	None
15	.	96	None	None
16	Об	98	None	None
17	этом	101	None	None
18	сообщил	106	None	None
19	в	114	None	None
20	Facebook	116	None	None
21	депутат	125	None	None
22	от	133	None	None
23	оппозиционной	136	None	None
24	националистической	150	None	None
25	партии	169	None	None
26	Свобода	176	coref	378
27	Андрей	184	None	None
28	Ильенко	191	None	None
29	.	198	None	None
30	Решение	200	None	None
31	о	208	None	None
32	запрете	210	None	None
33	приняла	218	None	None
34	так	226	None	None
35	называемая	230	None	None
36	народная	241	None	None
37	рада	250	coref	379
38	Деснянского	255	None	None
39	района	267	None	None
40	,	273	None	None
41	созданная	275	None	None
42	сторонниками	285	coref	377
43	оппозиции	298	None	None
44	.	307	None	None
45	Как	308	None	None
46	сообщили	312	None	None
47	в	321	None	None
48	партии	323	None	None
49	Свобода	330	coref	378
50	,	337	None	None
51	в	339	None	None
52	понедельник	341	None	None
53	,	352	None	None
54	3	354	None	None
55	февраля	356	None	None
56	,	363	None	None
57	ее	365	coref	378
58	сторонники	368	coref	380
59	провели	379	None	None
60	пикет	387	None	None
61	возле	393	None	None
62	администрации	399	None	None
63	Деснянского	413	None	None
64	района	425	None	None
65	.	431	None	None
66	Депутат	433	None	None
67	Ильенко	441	None	None
68	,	448	None	None
69	принимавший	450	None	None
70	участие	462	None	None
71	в	470	None	None
72	пикете	472	None	None
73	,	478	None	None
74	обвинил	480	None	None
75	чиновников	488	None	None
76	в	499	None	None
77	коррупции	501	None	None
78	и	511	None	None
79	потребовал	513	None	None
80	,	523	None	None
81	чтобы	525	None	None
82	администрация	531	coref	381
83	прекратила	545	None	None
84	свою	556	coref	381
85	деятельность	561	None	None
86	.	574	None	None
87	После	575	None	None
88	того	581	None	None
89	,	585	None	None
90	как	587	None	None
91	требования	591	None	None
92	пикетчиков	602	coref	380
93	выполнены	613	None	None
94	не	623	None	None
95	были	626	None	None
96	,	630	None	None
97	они	632	coref	380
98	объявили	636	None	None
99	о	645	None	None
100	создании	647	None	None
101	народной	656	None	None
102	рады	665	coref	379
103	.	670	None	None
104	Ее	672	coref	379
105	заседание	675	None	None
106	состоялось	685	None	None
107	в	696	None	None
108	приемной	698	None	None
109	депутата	707	None	None
110	Ильенко	716	None	None
111	.	723	None	None
112	В	725	None	None
113	ходе	727	None	None
114	этого	732	None	None
115	заседания	738	None	None
116	и	748	None	None
117	было	750	None	None
118	решено	755	None	None
119	запретить	762	None	None
120	партию	772	None	None
121	власти	779	None	None
122	на	786	None	None
123	территории	789	None	None
124	района	800	None	None
125	,	806	None	None
126	кроме	808	None	None
127	того	814	None	None
128	,	818	None	None
129	решено	820	None	None
130	было	827	None	None
131	создать	832	None	None
132	отряды	840	coref	382
133	самообороны	847	None	None
134	,	858	None	None
135	которые	860	coref	382
136	будут	868	None	None
137	противостоять	874	None	None
138	титушкам	888	None	None
139	(	897	None	None
140	провокаторам	898	None	None
141	)	910	None	None
142	и	912	None	None
143	бандитам	914	None	None
144	в	923	None	None
145	погонах	925	None	None
146	.	933	None	None
147	В	934	None	None
148	чем	936	None	None
149	конкретно	940	None	None
150	будет	950	None	None
151	выражаться	956	None	None
152	запрет	967	coref	383
153	на	974	None	None
154	деятельность	977	None	None
155	Партии	990	None	None
156	регионов	997	None	None
157	и	1006	None	None
158	Компартии	1008	None	None
159	Украины	1018	None	None
160	,	1025	None	None
161	не	1027	None	None
162	уточняется	1030	None	None
163	.	1040	None	None
164	Неясно	1042	None	None
165	также	1049	None	None
166	,	1054	None	None
167	как	1056	None	None
168	оппозиция	1060	coref	377
169	планирует	1070	None	None
170	следить	1080	None	None
171	за	1088	None	None
172	его	1091	coref	383
173	соблюдением	1095	None	None
174	.	1106	None	None
175	Ранее	1107	None	None
176	ПР	1113	None	None
177	и	1116	None	None
178	КПУ	1118	None	None
179	запретили	1122	None	None
180	в	1132	None	None
181	Тернопольской	1134	None	None
182	и	1148	None	None
183	Ивано	1150	None	None
184	-	1155	None	None
185	Франковской	1156	None	None
186	областях	1168	None	None
187	.	1176	None	None
188	Соответствующие	1178	None	None
189	решения	1194	None	None
190	были	1202	None	None
191	приняты	1207	None	None
192	областными	1215	None	None
193	советами	1226	None	None
194	,	1234	None	None
195	состоящими	1236	None	None
196	в	1247	None	None
197	том	1249	None	None
198	числе	1253	None	None
199	из	1259	None	None
200	представителей	1262	None	None
201	Свободы	1277	coref	378
202	.	1285	None	None
203	Кроме	1287	None	None
204	того	1293	None	None
205	,	1297	None	None
206	в	1299	None	None
207	Хмельницкой	1301	None	None
208	и	1313	None	None
209	Полтавской	1315	None	None
210	областях	1326	None	None
211	о	1335	None	None
212	запрете	1337	None	None
213	объявили	1345	None	None
214	так	1354	None	None
215	называемые	1358	None	None
216	народные	1369	None	None
217	рады	1378	None	None
218	—	1383	None	None
219	альтернативные	1385	None	None
220	структуры	1400	None	None
221	,	1409	None	None
222	созданные	1411	None	None
223	сторонниками	1421	coref	377
224	оппозиции	1434	None	None
225	.	1443	None	None
226	В	1444	None	None
227	Киеве	1446	None	None
228	оппозиционеры	1452	coref	377
229	в	1466	None	None
230	конце	1468	None	None
231	прошлого	1474	None	None
232	года	1483	None	None
233	захватили	1488	None	None
234	часть	1498	None	None
235	здания	1504	None	None
236	мэрии	1511	None	None
237	(	1517	None	None
238	позднее	1518	None	None
239	они	1526	coref	377
240	объявили	1530	None	None
241	о	1539	None	None
242	создании	1541	None	None
243	в	1550	None	None
244	столице	1552	None	None
245	народной	1560	None	None
246	рады	1569	None	None
247	)	1574	None	None
248	.	1576	None	None
249	В	1578	None	None
250	новом	1580	None	None
251	году	1586	None	None
252	протестующие	1591	None	None
253	стали	1604	None	None
254	захватывать	1610	None	None
255	здания	1622	None	None
256	областных	1629	None	None
257	администраций	1639	None	None
258	.	1652	None	None
259	Главным	1654	None	None
260	образом	1662	None	None
261	,	1669	None	None
262	это	1671	None	None
263	происходило	1675	None	None
264	на	1687	None	None
265	западе	1690	None	None
266	страны	1697	None	None
267	,	1703	None	None
268	где	1705	None	None
269	протестное	1709	None	None
270	движение	1720	None	None
271	пользуется	1729	None	None
272	существенной	1740	None	None
273	поддержкой	1753	None	None
274	.	1763	None	None
275	В	1764	None	None
276	Крыму	1766	None	None
277	,	1771	None	None
278	в	1773	None	None
279	свою	1775	None	None
280	очередь	1780	None	None
281	,	1787	None	None
282	местные	1789	None	None
283	власти	1797	None	None
284	,	1803	None	None
285	осудившие	1805	None	None
286	протестное	1815	None	None
287	движение	1826	None	None
288	,	1834	None	None
289	запретили	1836	None	None
290	партию	1846	None	None
291	Свобода	1853	coref	378
292	.	1861	None	None
293	Позднее	1863	None	None
294	это	1871	None	None
295	решение	1875	None	None
296	было	1883	None	None
297	обжаловано	1888	None	None
298	прокуратурой	1899	None	None
299	.	1911	None	None
300	Оппозиционная	1912	None	None
301	кампания	1926	None	None
302	под	1935	None	None
303	лозунгами	1939	None	None
304	евроинтеграции	1949	None	None
305	и	1964	None	None
306	смены	1966	None	None
307	власти	1972	None	None
308	на	1979	None	None
309	Украине	1982	None	None
310	продолжается	1990	None	None
311	уже	2003	None	None
312	более	2007	None	None
313	двух	2013	None	None
314	месяцев	2018	None	None
315	.	2025	None	None
316	В	2027	None	None
317	столкновениях	2029	None	None
318	между	2043	None	None
319	сторонниками	2049	coref	377
320	оппозиции	2062	None	None
321	и	2072	None	None
322	правоохранителями	2074	None	None
323	пострадали	2092	None	None
324	сотни	2103	None	None
325	людей	2109	None	None
326	,	2114	None	None
327	с	2116	None	None
328	обеих	2118	None	None
329	сторон	2124	None	None
330	также	2131	None	None
331	есть	2137	None	None
332	погибшие	2142	None	None
333	.	2150	None	None
334	Власти	2152	coref	384
335	на	2159	None	None
336	этом	2162	None	None
337	фоне	2167	None	None
338	пытаются	2172	None	None
339	вести	2181	None	None
340	переговоры	2187	None	None
341	с	2198	None	None
342	оппозицией	2200	coref	377
343	,	2210	None	None
344	они	2212	coref	384
345	пошли	2216	None	None
346	на	2222	None	None
347	определенные	2225	None	None
348	уступки	2238	None	None
349	(	2246	None	None
350	в	2247	None	None
351	частности	2249	None	None
352	,	2258	None	None
353	было	2260	None	None
354	отправлено	2265	None	None
355	в	2276	None	None
356	отставку	2278	None	None
357	правительство	2287	None	None
358	)	2300	None	None
359	,	2301	None	None
360	но	2303	None	None
361	добиться	2306	None	None
362	прекращения	2315	None	None
363	противостояния	2327	None	None
364	не	2342	None	None
365	смогли	2345	None	None
366	.	2351	None	None
