id,word,start_char,type,chain_id
0	КЕМБРИДЖ	0	None	None
1	–	9	None	None
2	В	11	None	None
3	долине	13	None	None
4	Сват	20	None	None
5	происходит	25	None	None
6	невиданное	36	None	None
7	ранее	47	None	None
8	по	53	None	None
9	жестокости	56	None	None
10	противостояние	67	None	None
11	пакистанской	82	None	None
12	армии	95	coref	585
13	и	101	None	None
14	Талибана	103	coref	586
15	;	111	None	None
16	Пакистану	113	coref	587
17	приходится	123	None	None
18	буквально	134	None	None
19	бороться	144	None	None
20	за	153	None	None
21	свои	156	coref	587
22	жизненные	161	None	None
23	принципы	171	None	None
24	.	179	None	None
25	Похоже	181	None	None
26	,	187	None	None
27	что	189	None	None
28	в	193	None	None
29	этот	195	None	None
30	раз	200	None	None
31	армия	204	coref	585
32	одержит	210	None	None
33	победу	218	None	None
34	,	224	None	None
35	в	226	None	None
36	отличие	228	None	None
37	от	236	None	None
38	своей	239	coref	585
39	недавней	245	None	None
40	нерешительной	254	None	None
41	конфронтации	268	None	None
42	с	281	None	None
43	силами	283	None	None
44	Талибана	290	coref	586
45	в	299	None	None
46	соседних	301	None	None
47	племенных	310	None	None
48	областях	320	None	None
49	.	328	None	None
50	Члены	329	coref	588
51	Талибана	335	coref	586
52	сейчас	344	None	None
53	находится	351	None	None
54	в	361	None	None
55	бегах	363	None	None
56	,	368	None	None
57	некоторые	370	None	None
58	из	380	None	None
59	них	383	coref	588
60	сбрили	387	None	None
61	бороды	394	None	None
62	,	400	None	None
63	некоторые	402	None	None
64	носят	412	None	None
65	паранджу	418	None	None
66	,	426	None	None
67	чтобы	428	None	None
68	их	434	coref	588
69	не	437	None	None
70	узнали	440	None	None
71	и	447	None	None
72	не	449	None	None
73	уничтожили	452	None	None
74	.	462	None	None
75	Причина	464	None	None
76	всего	472	None	None
77	этого	478	None	None
78	довольно	484	None	None
79	проста	493	None	None
80	:	499	None	None
81	жители	501	None	None
82	всего	508	None	None
83	Пакистана	514	coref	587
84	все	524	None	None
85	больше	528	None	None
86	поддерживают	535	None	None
87	действия	548	None	None
88	армии	557	coref	585
89	.	562	None	None
90	Эта	564	None	None
91	поддержка	568	coref	589
92	сохраняется	578	None	None
93	,	589	None	None
94	несмотря	591	None	None
95	на	600	None	None
96	свою	603	coref	589
97	чудовищную	608	None	None
98	гуманитарную	619	None	None
99	цену	632	None	None
100	:	636	None	None
101	более	638	None	None
102	миллиона	649	None	None
