id,word,start_char,type,chain_id
0	Год	0	None	None
1	назад	4	None	None
2	17	10	None	None
3	февраля	13	None	None
4	2008	21	None	None
5	года	26	None	None
6	Косово	31	coref	634
7	провозгласило	38	None	None
8	свою	52	coref	634
9	независимость	57	coref	635
10	,	70	None	None
11	которую	72	coref	635
12	признали	80	None	None
13	более	89	None	None
14	50	95	None	None
15	стран	98	None	None
16	,	103	None	None
17	определяющих	105	None	None
18	около	118	None	None
19	60	124	None	None
20	%	126	None	None
21	мирового	128	None	None
22	экономического	137	None	None
23	благосостояния	152	None	None
24	.	166	None	None
25	Межэтнического	168	None	None
26	насилия	183	coref	636
27	,	190	None	None
28	которого	192	coref	636
29	многие	201	None	None
30	опасались	208	None	None
31	,	217	None	None
32	удалось	219	None	None
33	,	226	None	None
34	во	228	None	None
35	многом	231	None	None
36	,	237	None	None
37	избежать	239	None	None
38	.	247	None	None
39	Также	249	None	None
40	не	255	None	None
41	произошло	258	None	None
42	массового	268	None	None
43	переселения	278	coref	637
44	сербов	290	None	None
45	,	296	None	None
46	которое	298	coref	637
47	также	306	None	None
48	предсказывали	312	None	None
49	.	325	None	None
50	Всеобъемлющее	327	None	None
51	предложение	341	coref	638
52	по	353	None	None
53	урегулированию	356	None	None
54	статуса	371	None	None
55	Косово	379	coref	634
56	(	386	None	None
57	так	387	None	None
58	называемый	391	None	None
59	план	402	None	None
60	Ахтисаари	407	coref	638
61	)	417	None	None
62	,	418	None	None
63	который	420	coref	638
64	предусматривает	428	None	None
65	международный	444	None	None
66	контроль	458	None	None
67	над	467	None	None
68	независимостью	471	None	None
69	Косово	486	coref	634
70	,	492	None	None
71	постепенно	494	None	None
72	претворяется	505	None	None
73	в	518	None	None
74	жизнь	520	None	None
75	.	525	None	None
76	Была	527	None	None
77	развернута	532	None	None
78	большая	543	None	None
79	гражданская	551	None	None
80	миссия	563	coref	639
81	Европейского	570	None	None
82	Союза	583	coref	640
83	.	588	None	None
84	К	589	None	None
85	сожалению	591	None	None
86	,	600	None	None
87	тем	602	None	None
88	не	606	None	None
89	менее	609	None	None
90	,	614	None	None
91	мы	616	None	None
92	все	619	None	None
93	еще	623	None	None
94	не	627	None	None
95	можем	630	None	None
96	перевернуть	636	None	None
97	страницу	648	None	None
98	этого	657	None	None
99	разрушительного	663	None	None
100	конфликта	679	coref	641
101	,	688	None	None
102	который	690	coref	641
103	привел	698	None	None
104	к	705	None	None
105	такой	707	None	None
106	большой	713	None	None
107	трагедии	721	None	None
108	и	730	None	None
109	стал	732	None	None
110	причиной	737	None	None
111	нестабильности	746	None	None
112	на	761	None	None
113	Балканах	764	None	None
114	слишком	773	None	None
115	долгое	781	None	None
116	время	788	None	None
117	.	793	None	None
118	Этот	795	None	None
119	вопрос	800	coref	642
120	не	807	None	None
121	теряет	810	None	None
122	своей	817	coref	642
123	злободневности	823	None	None
124	,	837	None	None
125	поскольку	839	None	None
126	Сербия	849	None	None
127	продолжает	856	None	None
128	отрицать	867	None	None
129	эту	876	None	None
130	новую	880	None	None
131	реальность	886	None	None
132	и	897	None	None
133	делает	899	None	None
134	все	906	None	None
135	возможное	910	None	None
136	,	919	None	None
137	чтобы	921	None	None
138	препятствовать	927	None	None
139	нормализации	942	None	None
140	ситуации	955	None	None
141	.	963	None	None
142	По	965	None	None
143	указаниям	968	None	None
144	сербского	978	None	None
145	правительства	988	None	None
146	косовские	1002	None	None
147	сербы	1012	coref	643
148	,	1017	None	None
149	которые	1019	coref	643
150	составляют	1027	None	None
151	около	1038	None	None
152	5	1044	None	None
153	%	1045	None	None
154	населения	1047	None	None
155	,	1056	None	None
156	отказываются	1058	None	None
157	сотрудничать	1071	None	None
158	с	1084	None	None
159	косовским	1086	None	None
160	правительством	1096	None	None
161	и	1111	None	None
162	миссией	1113	coref	639
163	ЕС	1121	coref	640
164	.	1123	None	None
165	Таким	1125	None	None
166	образом	1131	None	None
167	–	1139	None	None
168	и	1141	None	None
169	в	1143	None	None
170	этом	1145	None	None
171	заключается	1150	None	None
172	ирония	1162	None	None
173	конфликта	1169	None	None
174	–	1179	None	None
175	сербы	1181	coref	643
176	сами	1187	None	None
177	препятствуют	1192	None	None
178	скорейшему	1205	None	None
179	применению	1216	None	None
180	широкомасштабных	1227	None	None
181	общественных	1244	None	None
182	прав	1257	None	None
183	,	1261	None	None
184	предусмотренных	1263	None	None
185	в	1279	None	None
186	плане	1281	coref	638
187	Ахтисаари	1287	None	None
188	,	1296	None	None
189	который	1298	coref	638
190	должен	1306	None	None
191	принести	1313	None	None
192	им	1322	coref	643
193	нормальную	1325	None	None
194	и	1336	None	None
195	защищенную	1338	None	None
196	жизнь	1349	None	None
197	.	1354	None	None
198	На	1356	None	None
199	международном	1359	None	None
200	уровне	1373	None	None
201	Сербия	1380	None	None
202	–	1387	None	None
203	при	1389	None	None
204	сильной	1393	None	None
205	поддержке	1401	None	None
206	России	1411	None	None
207	–	1418	None	None
208	активно	1420	None	None
209	занята	1428	None	None
210	блокированием	1435	None	None
211	приема	1449	None	None
212	Косово	1456	coref	634
213	в	1463	None	None
214	ООН	1465	coref	644
215	и	1469	None	None
216	другие	1471	None	None
217	глобальные	1478	None	None
218	или	1489	None	None
219	региональные	1493	None	None
220	организации	1506	None	None
221	.	1517	None	None
222	Трудно	1518	None	None
223	понять	1525	None	None
224	,	1531	None	None
225	чего	1533	None	None
226	пытается	1538	None	None
227	достичь	1547	None	None
228	Сербия	1555	None	None
229	.	1561	None	None
230	Никто	1563	None	None
231	не	1569	None	None
232	отрицает	1572	None	None
233	,	1580	None	None
234	что	1582	None	None
235	для	1586	None	None
236	любого	1590	None	None
237	государства	1597	coref	645
238	отделение	1609	None	None
239	части	1619	None	None
240	его	1625	coref	645
241	территории	1629	None	None
242	–	1640	None	None
243	очень	1642	None	None
244	болезненно	1648	None	None
245	,	1658	None	None
246	даже	1660	None	None
247	если	1665	None	None
248	территория	1670	None	None
249	в	1681	None	None
250	основном	1683	None	None
251	населена	1692	None	None
252	другой	1701	None	None
253	этнической	1708	None	None
254	группой	1719	None	None
255	.	1726	None	None
256	Тем	1728	None	None
257	не	1732	None	None
258	менее	1735	None	None
259	,	1740	None	None
260	в	1742	None	None
261	новейшей	1744	None	None
262	истории	1753	None	None
263	есть	1761	None	None
264	примеры	1766	None	None
265	того	1774	None	None
266	,	1778	None	None
267	когда	1780	None	None
268	подобные	1786	None	None
269	вопросы	1795	None	None
270	решались	1803	None	None
271	согласованно	1812	None	None
272	.	1824	None	None
273	В	1825	None	None
274	случае	1827	None	None
275	с	1834	None	None
276	Косово	1836	coref	634
277	,	1842	None	None
278	после	1844	None	None
279	жестокого	1850	None	None
280	режима	1860	None	None
281	Милошевича	1867	None	None
282	в	1878	None	None
283	1990	1880	None	None
284	-	1884	None	None
285	х	1885	None	None
286	годах	1887	None	None
287	,	1892	None	None
288	сопровождавшегося	1894	None	None
289	репрессиями	1912	None	None
290	,	1923	None	None
291	массовыми	1925	None	None
292	нарушениями	1935	None	None
293	прав	1947	None	None
294	человека	1952	None	None
295	,	1960	None	None
296	а	1962	None	None
297	также	1964	None	None
298	широкомасштабным	1970	None	None
299	выселением	1987	None	None
300	косовских	1998	None	None
301	албанцев	2008	None	None
302	,	2016	None	None
303	была	2018	None	None
304	вынуждена	2023	None	None
305	вмешаться	2033	None	None
306	НАТО	2043	None	None
307	,	2047	None	None
308	а	2049	None	None
309	ООН	2051	coref	644
310	взяла	2055	None	None
311	на	2061	None	None
312	себя	2064	coref	644
313	управление	2069	None	None
314	страной	2080	None	None
315	,	2087	None	None
316	после	2089	None	None
317	чего	2095	None	None
318	возврат	2100	None	None
319	к	2108	None	None
