id,word,start_char,type,chain_id
0	ВЕНА	0	None	None
1	-	5	None	None
2	Американский	7	None	None
3	президент	20	coref	758
4	Барак	30	None	None
5	Обама	36	None	None
6	дал	42	None	None
7	новый	46	None	None
8	импульс	52	None	None
9	,	59	None	None
10	направленный	61	None	None
11	на	74	None	None
12	ядерное	77	None	None
13	разоружение	85	None	None
14	,	96	None	None
15	тем	98	None	None
16	усилиям	102	coref	759
17	,	109	None	None
18	которые	111	coref	759
19	буксуют	119	None	None
20	уже	127	None	None
21	многие	131	None	None
22	десятилетия	138	None	None
23	.	149	None	None
24	Он	151	coref	758
25	видит	154	None	None
26	мир	160	None	None
27	свободным	164	None	None
28	от	174	None	None
29	ядерного	177	None	None
30	оружия	186	coref	760
31	и	193	None	None
32	признает	195	None	None
33	связь	204	None	None
34	между	210	None	None
35	нераспространением	216	None	None
36	ядерного	235	None	None
37	оружия	244	coref	760
38	и	251	None	None
39	разоружением	253	None	None
40	ядерных	266	None	None
41	государств	274	None	None
42	.	284	None	None
43	Обама	285	coref	758
44	дал	291	None	None
45	торжественное	295	None	None
46	обещание	309	None	None
47	оживить	318	None	None
48	Договор	326	coref	761
49	о	334	None	None
50	нераспространении	336	None	None
51	ядерного	354	None	None
52	оружия	363	coref	760
53	(	370	None	None
54	ДНЯО	371	coref	761
55	)	375	None	None
56	1970	377	None	None
57	года	382	None	None
58	,	386	None	None
59	который	388	coref	761
60	нацелен	396	None	None
61	на	404	None	None
62	предотвращение	407	None	None
63	распространения	422	None	None
64	ядерного	438	None	None
65	оружия	447	coref	760
66	.	453	None	None
67	Режим	455	coref	762
68	нераспространения	461	None	None
69	,	478	None	None
70	в	480	None	None
71	котором	482	coref	762
72	ДНЯО	490	coref	761
73	является	495	None	None
74	краеугольным	504	None	None
75	камнем	517	None	None
76	,	523	None	None
77	находится	525	None	None
78	в	535	None	None
79	полном	537	None	None
80	упадке	544	None	None
81	.	550	None	None
82	Определить	552	None	None
83	главные	563	None	None
84	проблемы	571	None	None
85	довольно	580	None	None
86	легко	589	None	None
87	.	594	None	None
88	Во-первых	595	None	None
89	,	604	None	None
90	пять	606	None	None
91	основных	611	None	None
92	ядерных	620	None	None
93	государств	628	coref	763
94	не	639	None	None
95	отнеслись	642	None	None
96	серьезно	652	None	None
97	к	661	None	None
98	своим	663	coref	763
99	обязательствам	669	None	None
100	по	684	None	None
101	ДНЯО	687	coref	761
102	в	692	None	None
103	вопросах	694	None	None
104	ядерного	703	None	None
105	разоружения	712	None	None
106	.	723	None	None
107	Вместо	725	None	None
108	этого	732	None	None
109	они	738	coref	763
110	настаивали	742	None	None
111	на	753	None	None
112	том	756	None	None
113	,	759	None	None
114	что	761	None	None
115	ядерное	765	None	None
116	оружие	773	coref	760
117	имеет	780	None	None
118	огромное	786	None	None
119	значение	795	None	None
120	для	804	None	None
121	их	808	coref	763
122	безопасности	811	None	None
123	,	823	None	None
124	и	825	None	None
125	продолжали	827	None	None
126	модернизировать	838	None	None
127	свои	854	coref	763
128	ядерные	859	None	None
129	арсеналы	867	None	None
130	.	875	None	None
131	Естественно	877	None	None
132	,	888	None	None
133	это	890	None	None
134	лишает	894	None	None
135	их	901	coref	763
136	морального	904	None	None
137	права	915	None	None
138	убеждать	921	None	None
139	другие	930	None	None
140	страны	937	None	None
141	не	944	None	None
142	овладевать	947	None	None
143	ядерным	958	None	None
144	оружием	966	coref	760
145	,	973	None	None
146	которое	975	coref	760
147	продолжает	983	None	None
148	восприниматься	994	None	None
149	как	1009	None	None
150	источник	1013	None	None
151	власти	1022	None	None
152	и	1029	None	None
153	влияния	1031	None	None
154	,	1038	None	None
155	а	1040	None	None
156	также	1042	None	None
157	является	1048	None	None
158	страховым	1057	None	None
159	полисом	1067	None	None
160	от	1075	None	None
161	нападения	1078	None	None
162	.	1087	None	None
163	Во-вторых	1088	None	None
164	,	1097	None	None
165	как	1099	None	None
166	мы	1103	coref	781
167	могли	1106	None	None
168	наблюдать	1112	None	None
169	в	1122	None	None
170	случае	1124	None	None
171	с	1131	None	None
172	Северной	1133	None	None
173	Кореей	1142	None	None
174	,	1148	None	None
175	ничто	1150	None	None
176	не	1156	None	None
177	может	1159	None	None
178	остановить	1165	None	None
179	страны	1176	coref	764
180	,	1182	None	None
181	подписавшие	1184	None	None
182	Соглашение	1196	coref	761
183	,	1206	None	None
184	от	1208	None	None
185	простого	1211	None	None
186	отказа	1220	None	None
187	от	1227	None	None
188	него	1230	coref	761
189	после	1235	None	None
190	заявления	1241	None	None
191	о	1251	None	None
192	том	1253	None	None
193	,	1256	None	None
194	что	1258	None	None
195	экстраординарные	1262	None	None
196	события	1279	None	None
197	подвергли	1287	None	None
198	опасности	1297	None	None
199	их	1307	coref	764
200	первостепенные	1310	None	None
201	интересы	1325	None	None
202	.	1333	None	None
203	В-третьих	1334	None	None
204	,	1343	None	None
205	Международное	1345	None	None
206	агентство	1359	coref	765
207	по	1369	None	None
208	атомной	1372	None	None
209	энергии	1380	None	None
210	,	1387	None	None
211	которое	1389	coref	765
212	должно	1397	None	None
213	поддерживать	1404	None	None
214	порядок	1417	None	None
215	в	1425	None	None
216	системе	1427	None	None
217	нераспространения	1435	None	None
218	ядерного	1453	None	None
219	оружия	1462	coref	760
220	,	1468	None	None
221	постыдно	1470	None	None
222	остается	1479	None	None
223	недофинансированным	1488	None	None
224	.	1507	None	None
225	Когда	1509	None	None
226	речь	1515	None	None
227	заходит	1520	None	None
228	об	1528	None	None
229	определении	1531	None	None
230	,	1542	None	None
231	в	1544	None	None
232	самом	1546	None	None
233	ли	1552	None	None
234	деле	1555	None	None
235	страна	1560	None	None
236	тайно	1567	None	None
237	развивает	1573	None	None
238	программу	1583	None	None
239	развития	1593	None	None
240	ядерного	1602	None	None
241	оружия	1611	coref	760
242	,	1617	None	None
243	у	1619	None	None
244	инспекторов	1621	coref	766
245	МАГАТЭ	1633	coref	765
246	часто	1640	None	None
247	оказываются	1646	None	None
248	связаны	1658	None	None
249	руки	1666	None	None
250	-	1671	None	None
251	либо	1673	None	None
252	потому	1678	None	None
253	что	1685	None	None
254	у	1689	None	None
255	них	1691	coref	766
256	недостаточно	1695	None	None
257	юридических	1708	None	None
258	полномочий	1720	None	None
259	на	1731	None	None
260	получение	1734	None	None
261	доступа	1744	None	None
262	ко	1752	None	None
263	всем	1755	None	None
264	объектам	1760	coref	767
265	,	1768	None	None
266	которые	1770	coref	767
267	они	1778	coref	766
268	считают	1782	None	None
269	необходимыми	1790	None	None
270	проверить	1803	None	None
271	,	1812	None	None
272	либо	1814	None	None
273	потому	1819	None	None
274	что	1826	None	None
275	аналитические	1830	None	None
276	лаборатории	1844	None	None
277	МАГАТЭ	1856	coref	765
278	являются	1863	None	None
279	устаревшими	1872	None	None
280	,	1883	None	None
281	либо	1885	None	None
282	потому	1890	None	None
283	что	1897	None	None
284	у	1901	None	None
285	Агентства	1903	coref	765
286	нет	1913	None	None
287	адекватного	1917	None	None
288	доступа	1929	None	None
289	к	1937	None	None
290	изображениям	1939	None	None
291	со	1952	None	None
292	спутников	1955	None	None
293	.	1964	None	None
294	В	1965	None	None
295	-	1966	None	None
296	четвертых	1967	None	None
297	,	1976	None	None
298	контроль	1978	None	None
299	над	1987	None	None
300	экспортом	1991	None	None
301	оказался	2001	None	None
302	не	2010	None	None
303	в	2013	None	None
304	состоянии	2015	None	None
305	предотвратить	2025	None	None
306	распространение	2039	None	None
307	военных	2055	None	None
308	ядерных	2063	None	None
309	технологий	2071	coref	760
310	,	2081	None	None
311	не	2083	None	None
312	в	2086	None	None
313	последнюю	2088	None	None
314	очередь	2098	None	None
315	из-за	2106	None	None
316	отчаянных	2112	None	None
317	усилий	2122	None	None
318	тайных	2129	None	None
319	сетей	2136	None	None
320	,	2141	None	None
321	вроде	2143	None	None
322	той	2149	coref	768
323	,	2152	None	None
324	которая	2154	coref	768
325	управляется	2162	None	None
326	пакистанским	2174	None	None
327	ядерным	2187	None	None
328	ученым	2195	None	None
329	А.К	2202	None	None
330	.	2205	None	None
331	Ханом	2207	None	None
332	.	2212	None	None
333	У	2214	None	None
334	девяти	2216	None	None
335	стран	2223	None	None
336	уже	2229	None	None
337	есть	2233	None	None
338	ядерное	2238	None	None
339	оружие	2246	coref	760
340	,	2252	None	None
341	и	2254	None	None
342	было	2256	None	None
343	бы	2261	None	None
344	наивно	2264	None	None
345	полагать	2271	None	None
346	,	2279	None	None
347	что	2281	None	None
348	другие	2285	None	None
349	страны	2292	None	None
350	,	2298	None	None
351	особенно	2300	None	None
352	в	2309	None	None
353	конфликтных	2311	None	None
354	регионах	2323	None	None
355	,	2331	None	None
356	не	2333	None	None
357	будут	2336	None	None
358	пытаться	2342	None	None
359	овладеть	2351	None	None
360	им	2360	coref	760
361	.	2362	None	None
362	Кроме	2363	None	None
363	того	2369	None	None
364	,	2373	None	None
365	многие	2375	None	None
366	страны	2382	coref	769
367	с	2389	None	None
368	программами	2391	None	None
369	по	2403	None	None
370	развитию	2406	None	None
371	ядерной	2415	None	None
372	энергии	2423	None	None
373	при	2431	None	None
374	желании	2435	None	None
375	имеют	2443	None	None
376	возможность	2449	None	None
377	создания	2461	None	None
378	ядерного	2470	None	None
379	оружия	2479	coref	760
380	в	2486	None	None
381	течение	2488	None	None
382	нескольких	2496	None	None
383	месяцев	2507	None	None
384	,	2514	None	None
385	если	2516	None	None
386	изменится	2521	None	None
387	их	2531	coref	769
388	представление	2534	None	None
389	о	2548	None	None
390	безопасности	2550	None	None
391	,	2562	None	None
392	поскольку	2564	None	None
393	им	2574	coref	769
394	уже	2577	None	None
395	удалось	2581	None	None
396	справиться	2589	None	None
397	с	2600	None	None
398	наиболее	2602	None	None
399	сложной	2611	None	None
400	технологией	2619	None	None
401	-	2631	None	None
402	обогащением	2633	None	None
403	урана	2645	None	None
404	и	2651	None	None
405	переработкой	2653	None	None
406	плутония	2666	None	None
407	.	2674	None	None
408	Если	2676	None	None
409	еще	2681	None	None
410	большее	2685	None	None
411	количество	2693	None	None
412	стран	2704	None	None
413	выберет	2710	None	None
414	такой	2718	None	None
415	путь	2724	None	None
416	,	2728	None	None
417	то	2730	None	None
418	это	2733	None	None
419	может	2737	None	None
420	стать	2743	None	None
421	ахиллесовой	2749	None	None
422	пятой	2761	None	None
423	режима	2767	None	None
424	нераспространения	2774	None	None
425	ядерного	2792	None	None
426	оружия	2801	coref	760
427	.	2807	None	None
428	В	2808	None	None
429	-	2809	None	None
430	пятых	2810	None	None
431	,	2815	None	None
432	международное	2817	None	None
433	сообщество	2831	None	None
434	во	2842	None	None
435	главе	2845	None	None
436	с	2851	None	None
437	Советом	2853	None	None
438	Безопасности	2861	None	None
439	Организации	2874	None	None
440	Объединенных	2886	None	None
441	Наций	2899	None	None
442	часто	2905	None	None
443	оказывалось	2911	None	None
444	парализованным	2923	None	None
445	перед	2938	None	None
446	лицом	2944	None	None
447	угрозы	2950	None	None
448	международной	2957	None	None
449	безопасности	2971	None	None
450	и	2984	None	None
451	было	2986	None	None
452	неэффективным	2991	None	None
453	в	3005	None	None
454	реакции	3007	None	None
455	на	3015	None	None
456	подозрительные	3018	None	None
457	случаи	3033	None	None
458	в	3040	None	None
459	вопросах	3042	None	None
460	нераспространения	3051	None	None
461	ядерного	3069	None	None
462	оружия	3078	coref	760
463	.	3084	None	None
464	Эти	3085	None	None
465	проблемы	3089	None	None
466	невозможно	3098	None	None
467	решить	3109	None	None
468	за	3116	None	None
469	одну	3119	None	None
470	ночь	3124	None	None
471	.	3128	None	None
472	Однако	3130	None	None
473	существует	3137	None	None
474	множество	3148	None	None
475	дел	3158	coref	770
476	,	3161	None	None
477	которые	3163	coref	770
478	можно	3171	None	None
479	сделать	3177	None	None
480	относительно	3185	None	None
481	быстро	3198	None	None
482	.	3204	None	None
483	Соединенные	3206	None	None
484	Штаты	3218	coref	771
485	и	3224	None	None
486	Россия	3226	None	None
487	начали	3233	None	None
488	переговоры	3240	None	None
489	о	3251	None	None
490	масштабном	3253	None	None
491	сокращении	3264	None	None
492	своих	3275	coref	771
493	ядерных	3281	None	None
494	арсеналов	3289	coref	772
495	,	3298	None	None
496	которые	3300	coref	772
497	в	3308	None	None
498	совокупности	3310	None	None
499	составляют	3323	None	None
500	95	3334	None	None
501	%	3336	None	None
502	от	3338	None	None
503	всех	3341	None	None
504	27	3346	None	None
505	000	3349	None	None
506	боеголовок	3353	None	None
507	в	3364	None	None
508	мире	3366	None	None
509	.	3370	None	None
510	Другие	3372	None	None
511	ключевые	3379	None	None
512	шаги	3388	coref	773
513	включают	3393	None	None
514	в	3402	None	None
515	себя	3404	coref	773
516	:	3408	None	None
517	приведение	3410	None	None
518	в	3421	None	None
519	жизнь	3423	None	None
520	Договора	3429	None	None
521	о	3438	None	None
522	всеобъемлющем	3440	None	None
523	запрещении	3454	None	None
524	ядерных	3465	None	None
525	испытаний	3473	None	None
526	;	3482	None	None
527	переговоры	3484	None	None
528	о	3495	None	None
529	поддающемся	3497	None	None
530	контролю	3509	None	None
531	соглашении	3518	coref	774
532	,	3528	None	None
533	цель	3530	None	None
534	которого	3535	coref	774
535	в	3544	None	None
536	прекращении	3546	None	None
537	производства	3558	None	None
538	ядерного	3571	None	None
539	топлива	3580	None	None
540	для	3588	None	None
541	использования	3592	None	None
542	в	3606	None	None
543	производстве	3608	None	None
544	оружия	3621	coref	760
545	;	3627	None	None
546	радикальное	3629	None	None
547	улучшение	3641	None	None
548	физической	3651	None	None
549	безопасности	3662	None	None
550	ядерных	3675	None	None
551	и	3683	None	None
552	радиоактивных	3685	None	None
553	материалов	3699	coref	775
554	,	3709	None	None
555	что	3711	None	None
556	является	3715	None	None
557	жизненно	3724	None	None
558	важным	3733	None	None
559	условием	3740	None	None
560	для	3749	None	None
561	предотвращения	3753	None	None
562	их	3768	coref	775
563	попадания	3771	None	None
564	в	3781	None	None
565	руки	3783	None	None
566	террористов	3788	None	None
567	;	3799	None	None
568	и	3801	None	None
569	укрепление	3803	None	None
570	МАГАТЭ	3814	None	None
571	.	3820	None	None
572	В	3821	None	None
573	прошлом	3823	None	None
574	месяце	3831	None	None
575	я	3838	coref	776
576	предложил	3840	None	None
577	Управляющему	3850	None	None
578	совету	3863	None	None
579	МАГАТЭ	3870	coref	765
580	ключевую	3877	None	None
581	меру	3886	None	None
582	по	3891	None	None
583	усилению	3894	None	None
584	режима	3903	None	None
585	нераспространения	3910	None	None
586	ядерного	3928	None	None
587	оружия	3937	coref	760
588	-	3944	None	None
589	создание	3946	None	None
590	банка	3955	None	None
591	МАГАТЭ	3961	coref	765
592	,	3967	None	None
593	где	3969	None	None
594	будет	3973	None	None
595	храниться	3979	None	None
596	низко	3989	None	None
597	-	3994	None	None
598	обогащенный	3995	None	None
599	уран	4007	coref	777
600	(	4012	None	None
601	НУ	4013	coref	777
602	)	4015	None	None
603	,	4016	None	None
604	чтобы	4018	None	None
605	гарантировать	4024	None	None
606	его	4038	coref	777
607	поставки	4042	None	None
608	странам	4051	coref	778
609	,	4058	None	None
610	которым	4060	coref	778
611	ядерное	4068	None	None
612	топливо	4076	None	None
613	необходимо	4084	None	None
614	для	4095	None	None
615	энергетических	4099	None	None
616	реакторов	4114	None	None
617	.	4123	None	None
618	НУ	4125	coref	777
619	невозможно	4128	None	None
620	использовать	4139	None	None
621	для	4152	None	None
622	создания	4156	None	None
623	оружия	4165	coref	760
624	.	4171	None	None
625	Определенный	4173	None	None
626	механизм	4186	None	None
627	подобного	4195	None	None
628	рода	4205	None	None
629	будет	4210	None	None
630	иметь	4216	None	None
631	огромное	4222	None	None
632	значение	4231	None	None
633	в	4240	None	None
634	ближайшие	4242	None	None
635	десятилетия	4252	None	None
