id,word,start_char,type,chain_id
0	Кембридж	0	None	None
1	.	8	None	None
2	Следом	10	None	None
3	за	17	None	None
4	глобальным	20	None	None
5	финансовым	31	None	None
6	крахом	42	None	None
7	прошлого	49	None	None
8	года	58	None	None
9	сегодня	63	None	None
10	появилось	71	None	None
11	широко	81	None	None
12	распространённое	88	None	None
13	признание	105	None	None
14	того	115	None	None
15	,	119	None	None
16	что	121	None	None
17	недостаточная	125	None	None
18	защита	139	None	None
19	инвесторов	146	None	None
20	может	157	None	None
21	значительно	163	None	None
22	повлиять	175	None	None
23	на	184	None	None
24	развитие	187	None	None
25	фондовых	196	None	None
26	рынков	205	None	None
27	и	212	None	None
28	экономик	214	None	None
29	,	222	None	None
30	а	224	None	None
31	также	226	None	None
32	на	232	None	None
33	работу	235	None	None
34	отдельных	242	None	None
35	фирм	252	None	None
36	.	256	None	None
37	Усиленный	258	None	None
38	акцент	268	None	None
39	на	275	None	None
40	улучшение	278	None	None
41	корпоративного	288	None	None
42	управления	303	None	None
43	создал	314	None	None
44	спрос	321	None	None
45	на	327	None	None
46	надежные	330	None	None
47	стандарты	339	None	None
48	оценки	349	None	None
49	управления	356	None	None
50	акционерными	367	None	None
51	компаниями	380	None	None
52	открытого	391	None	None
53	типа	401	None	None
54	во	406	None	None
55	всем	409	None	None
56	мире	414	None	None
57	.	418	None	None
58	Чиновники	420	None	None
59	Всемирного	430	None	None
60	банка	441	None	None
61	и	447	None	None
62	финансовые	449	None	None
63	экономисты	460	None	None
64	приложили	471	None	None
65	значительные	481	None	None
66	усилия	494	None	None
67	для	501	None	None
68	разработки	505	None	None
69	таких	516	None	None
70	стандартов	522	None	None
71	.	532	None	None
72	Идея	533	None	None
73	создания	538	None	None
74	единых	547	None	None
75	мировых	554	None	None
76	критериев	562	None	None
77	для	572	None	None
78	оценки	576	None	None
79	управления	583	None	None
80	акционерных	594	None	None
81	компаний	606	None	None
82	открытого	615	None	None
83	типа	625	None	None
84	,	629	None	None
85	несомненно	631	None	None
86	,	641	None	None
87	привлекательна	643	None	None
88	.	657	None	None
89	Как	659	None	None
90	инвесторы	663	None	None
91	,	672	None	None
92	так	674	None	None
93	и	678	None	None
94	компании	680	None	None
95	открытого	689	None	None
96	типа	699	None	None
97	работают	704	None	None
98	во	713	None	None
99	все	716	None	None
100	более	720	None	None
101	интегрируемом	726	None	None
102	глобальном	740	None	None
103	рынке	751	None	None
104	капитала	757	None	None
105	.	765	None	None
106	Однако	767	None	None
107	поиск	774	None	None
108	единых	780	None	None
109	глобальных	787	None	None
110	стандартов	798	None	None
111	управления	809	None	None
112	проходит	820	None	None
113	в	829	None	None
114	неправильном	831	None	None
115	направлении	844	None	None
116	.	855	None	None
117	За	856	None	None
118	последнее	859	None	None
119	десятилетие	869	None	None
120	глобальные	881	None	None
121	стандарты	892	None	None
122	управления	902	None	None
123	,	912	None	None
124	в	914	None	None
125	основном	916	None	None
126	разработанные	925	None	None
127	в	939	None	None
128	США	941	None	None
129	,	944	None	None
130	все	946	None	None
131	больше	950	None	None
132	использовались	957	None	None
133	,	971	None	None
134	чтобы	973	None	None
135	оценить	979	None	None
136	,	986	None	None
137	как	988	None	None
138	страны	992	None	None
139	и	999	None	None
140	компании	1001	None	None
141	во	1010	None	None
142	всем	1013	None	None
143	мире	1018	None	None
144	защищают	1023	None	None
145	миноритарных	1032	None	None
146	инвесторов	1045	None	None
147	.	1055	None	None
148	Однако	1057	None	None
149	эти	1064	None	None
150	усилия	1068	None	None
151	не	1075	None	None
152	предусмотрели	1078	None	None
153	фундаментальных	1092	None	None
154	различий	1108	None	None
155	между	1117	None	None
156	контролируемыми	1123	None	None
157	компаниями	1139	coref	846
158	,	1149	None	None
159	у	1151	None	None
160	которых	1153	coref	846
161	есть	1161	None	None
162	контролирующий	1166	None	None
163	акционер	1181	None	None
164	,	1189	None	None
165	и	1191	None	None
166	фирмами	1193	coref	847
167	,	1200	None	None
168	в	1202	None	None
169	собственности	1204	None	None
170	которых	1218	coref	847
171	участвуют	1226	None	None
172	многие	1236	coref	848
173	,	1242	None	None
174	у	1244	None	None
175	которых	1246	coref	848
176	нет	1254	None	None
177	такого	1258	None	None
178	контролера	1265	None	None
179	.	1275	None	None
180	В	1277	None	None
181	то	1279	None	None
182	время	1282	None	None
183	как	1288	None	None
184	фирмы	1292	None	None
185	общественной	1298	None	None
186	собственности	1311	None	None
187	доминируют	1325	None	None
188	на	1336	None	None
189	рынках	1339	None	None
190	капитала	1346	None	None
191	в	1355	None	None
192	США	1357	None	None
193	и	1361	None	None
194	Великобритании	1363	None	None
195	,	1377	None	None
196	контролируемые	1379	None	None
197	компании	1394	None	None
198	доминируют	1403	None	None
199	в	1414	None	None
200	большинстве	1416	None	None
201	других	1428	None	None
202	стран	1435	None	None
203	.	1440	None	None
204	Фирмы	1441	coref	849
205	общественной	1447	None	None
206	собственности	1460	None	None
207	и	1474	None	None
208	контролируемые	1476	None	None
209	компании	1491	None	None
210	значительно	1500	None	None
211	отличаются	1512	None	None
212	проблемами	1523	coref	850
213	управления	1534	None	None
214	,	1544	None	None
215	которые	1546	coref	850
216	стоят	1554	None	None
217	перед	1560	None	None
218	их	1566	None	849
219	инвесторами	1569	None	None
220	.	1580	None	None
221	В	1582	None	None
222	фирмах	1584	None	None
223	общественной	1591	None	None
224	собственности	1604	None	None
225	вопросы	1618	coref	850
226	возникают	1626	None	None
227	в	1636	None	None
228	отношении	1638	None	None
229	оппортунизма	1648	None	None
230	менеджеров	1661	coref	851
231	,	1671	None	None
232	которые	1673	coref	851
233	де	1681	None	None
234	-	1683	None	None
235	факто	1684	None	None
236	выполняют	1690	None	None
237	контролирующие	1700	None	None
238	функции	1715	None	None
239	;	1722	None	None
240	в	1724	None	None
241	контролируемых	1726	None	None
242	фирмах	1741	None	None
243	вопросы	1748	None	None
244	возникают	1756	None	None
245	в	1766	None	None
246	отношении	1768	None	None
247	оппортунизма	1778	None	None
248	владельца	1791	None	None
249	акций	1801	None	None
250	за	1807	None	None
251	счет	1810	None	None
252	миноритарных	1815	None	None
253	акционеров	1828	None	None
254	.	1838	None	None
255	Поскольку	1839	None	None
256	основные	1849	None	None
257	проблемы	1858	None	None
258	управления	1867	None	None
259	в	1878	None	None
260	двух	1880	None	None
261	типах	1885	coref	849
262	фирм	1891	None	None
263	значительно	1896	None	None
264	отличаются	1908	None	None
265	,	1918	None	None
266	меры	1920	coref	852
267	,	1924	None	None
268	которые	1926	coref	852
269	приведут	1934	None	None
270	к	1943	None	None
271	выгоде	1945	None	None
272	инвесторов	1952	None	None
273	в	1963	None	None
274	фирмах	1965	None	None
275	общественной	1972	None	None
276	собственности	1985	None	None
277	,	1998	None	None
278	могут	2000	None	None
279	оказаться	2006	None	None
280	неуместными	2016	None	None
281	или	2028	None	None
282	даже	2032	None	None
283	вредными	2037	None	None
284	для	2046	None	None
285	контролируемых	2050	None	None
286	фирм	2065	None	None
287	,	2069	None	None
288	и	2071	None	None
289	наоборот	2073	None	None
290	.	2081	None	None
291	В	2083	None	None
292	результате	2085	None	None
293	,	2095	None	None
294	применение	2097	coref	853
295	единого	2108	None	None
296	стандарта	2116	None	None
297	для	2126	None	None
298	оценки	2130	None	None
299	защиты	2137	None	None
300	инвесторов	2144	None	None
301	во	2155	None	None
302	всем	2158	None	None
303	мире	2163	None	None
304	не	2168	None	None
305	достигнет	2171	None	None
306	своей	2181	coref	853
307	цели	2187	None	None
308	в	2192	None	None
309	отношении	2194	None	None
310	фирм	2204	coref	854
311	общественной	2209	None	None
312	собственности	2222	None	None
313	,	2235	None	None
314	контролируемых	2237	None	None
315	фирм	2252	None	None
316	,	2256	None	None
317	или	2258	None	None
318	и	2262	None	None
319	тех	2264	coref	854
320	и	2268	None	None
321	других	2270	None	None
322	.	2276	None	None
323	Рассмотрим	2277	None	None
324	,	2287	None	None
325	например	2289	None	None
326	,	2297	None	None
327	корпоративную	2299	None	None
328	систему	2313	coref	855
329	управления	2321	None	None
330	и	2332	None	None
331	фактор	2334	None	None
332	-	2340	None	None
333	систему	2341	None	None
334	(	2349	None	None
335	Corporate	2350	None	None
336	Governance	2360	None	None
337	Quotient	2371	None	None
338	system	2380	None	None
339	)	2386	None	None
340	,	2387	None	None
341	разработанную	2389	None	None
342	американской	2403	None	None
343	фирмой	2416	None	None
344	RiskMetrics	2423	None	None
345	,	2434	None	None
346	доминирующей	2436	None	None
347	мировой	2449	None	None
348	акционерной	2457	None	None
349	консалтинговой	2469	None	None
350	фирмой	2484	None	None
351	.	2490	None	None
352	Система	2492	coref	855
353	RiskMetrics	2500	None	None
354	,	2511	None	None
355	которая	2513	coref	855
356	используется	2521	None	None
357	институциональными	2534	None	None
358	инвесторами	2553	None	None
359	во	2565	None	None
360	всем	2568	None	None
361	мире	2573	None	None
362	,	2577	None	None
363	придает	2579	None	None
364	значительный	2587	None	None
365	вес	2600	None	None
366	мероприятиям	2604	None	None
367	,	2616	None	None
368	управляющим	2618	None	None
369	прениями	2630	None	None
370	для	2639	None	None
371	контроля	2643	None	None
372	.	2651	None	None
373	Эти	2652	None	None
374	мероприятия	2656	None	None
375	действительно	2668	None	None
376	важны	2682	None	None
377	для	2688	None	None
378	инвесторов	2692	None	None
379	в	2703	None	None
380	фирмах	2705	None	None
381	общественной	2712	None	None
382	собственности	2725	None	None
383	.	2738	None	None
384	Когда	2740	None	None
385	у	2746	None	None
386	компании	2748	None	None
387	есть	2757	None	None
388	контролирующий	2762	None	None
389	акционер	2777	None	None
390	,	2785	None	None
391	тем	2787	None	None
392	не	2791	None	None
393	менее	2794	None	None
394	,	2799	None	None
395	контролирующие	2801	None	None
396	прения	2816	None	None
397	невозможны	2823	None	None
398	,	2833	None	None
399	и	2835	None	None
400	,	2836	None	None
401	таким	2838	None	None
402	образом	2844	None	None
403	,	2851	None	None
404	мероприятия	2853	None	None
405	,	2864	None	None
406	управляющие	2866	None	None
407	такими	2878	None	None
408	прениями	2885	None	None
409	,	2893	None	None
410	являются	2895	None	None
411	неуместными	2904	None	None
412	.	2915	None	None
413	Инвесторы	2917	coref	856
414	и	2927	None	None
415	государственные	2929	None	None
416	чиновники	2945	None	None
417	в	2955	None	None
418	странах	2957	coref	857
419	,	2964	None	None
420	в	2966	None	None
421	которых	2968	coref	857
422	доминируют	2976	None	None
423	контролируемые	2987	None	None
424	компании	3002	None	None
425	,	3010	None	None
426	должны	3012	None	None
427	прекратить	3019	None	None
428	использовать	3030	None	None
429	глобальные	3043	None	None
430	стандарты	3054	None	None
431	управления	3064	None	None
432	,	3074	None	None
433	основанные	3076	None	None
434	на	3087	None	None
435	опыте	3090	None	None
436	разработчика	3096	None	None
437	с	3109	None	None
438	фирмами	3111	None	None
439	общественной	3119	None	None
440	собственности	3132	None	None
441	в	3146	None	None
442	США	3148	None	None
443	.	3151	None	None
444	Они	3153	coref	856
445	должны	3157	None	None
446	стремиться	3164	None	None
447	к	3175	None	None
448	разработке	3177	None	None
449	стандартов	3188	None	None
450	,	3198	None	None
451	подходящих	3200	None	None
452	для	3211	None	None
453	контролируемых	3215	None	None
454	фирм	3230	None	None
455	.	3234	None	None
456	Очевидно	3235	None	None
457	,	3243	None	None
458	что	3245	None	None
459	оценки	3249	None	None
460	контролируемых	3256	None	None
461	фирм	3271	None	None
462	не	3276	None	None
463	должны	3279	None	None
464	придавать	3286	None	None
465	значительный	3296	None	None
466	вес	3309	None	None
467	мероприятиям	3313	None	None
468	,	3325	None	None
469	управляющим	3327	None	None
470	прениями	3339	None	None
471	для	3348	None	None
472	корпоративного	3352	None	None
473	контроля	3367	None	None
474	.	3375	None	None
475	Подобным	3377	None	None
476	образом	3386	None	None
477	,	3393	None	None
478	мероприятия	3395	coref	858
479	,	3406	None	None
480	которые	3408	coref	858
481	делают	3416	None	None
482	совет	3423	None	None
483	директоров	3429	None	None
484	более	3440	None	None
485	зависимым	3446	None	None
486	от	3456	None	None
487	пожеланий	3459	None	None
488	большинства	3469	None	None
489	акционеров	3481	None	None
490	,	3491	None	None
491	такие	3493	None	None
492	как	3499	None	None
493	облегчение	3503	None	None
494	замены	3514	None	None
495	акционерами	3521	None	None
496	директоров	3533	None	None
497	,	3543	None	None
498	могут	3545	None	None
499	послужить	3551	None	None
500	интересам	3561	None	None
501	инвесторов	3571	None	None
502	в	3582	None	None
503	фирмах	3584	None	None
504	общественной	3591	None	None
505	собственности	3604	None	None
506	,	3617	None	None
507	однако	3619	None	None
508	являются	3626	None	None
509	непродуктивными	3635	None	None
510	для	3651	None	None
511	инвесторов	3655	None	None
512	в	3666	None	None
513	контролируемых	3668	None	None
514	фирмах	3683	None	None
515	.	3689	None	None
516	В	3691	None	None
