id,word,start_char,type,chain_id
0	Хранение	0	None	None
1	радиоактивных	9	None	None
2	отходов	23	None	None
3	связано	31	None	None
4	со	39	None	None
5	значительными	42	None	None
6	затратами	56	None	None
7	и	66	None	None
8	приводит	68	None	None
9	к	77	None	None
10	определенному	79	None	None
11	риску	93	None	None
12	воздействия	99	None	None
13	на	111	None	None
14	окружающую	114	None	None
15	среду	125	None	None
16	и	131	None	None
17	человека	133	None	None
18	в	142	None	None
19	случае	144	None	None
20	аварийной	151	None	None
21	ситуации	161	None	None
22	.	169	None	None
23	В	170	None	None
24	настоящее	172	None	None
25	время	182	None	None
26	на	188	None	None
27	атомных	191	None	None
28	электростанциях	199	None	None
29	(	215	None	None
30	АЭС	216	None	None
31	)	219	None	None
32	РФ	221	None	None
33	в	224	None	None
34	процессе	226	None	None
35	эксплуатации	235	None	None
36	и	248	None	None
37	производства	250	None	None
38	ремонтных	263	None	None
39	работ	273	None	None
40	накопилось	279	None	None
41	значительное	290	None	None
42	количество	303	None	None
43	твердых	314	None	None
44	радиоактивных	322	None	None
45	отходов	336	coref	1024
46	(	344	None	None
47	ТРО	345	coref	1024
48	)	348	None	None
49	,	349	None	None
50	в	351	None	None
51	состав	353	None	None
52	которых	360	coref	1024
53	входит	368	None	None
54	отработавшее	375	None	None
55	гарантийный	388	None	None
56	срок	400	None	None
57	оборудование	405	None	None
58	,	417	None	None
59	материалы	419	None	None
60	,	428	None	None
61	элементы	430	None	None
62	конструкций	439	None	None
63	,	450	None	None
64	спецодежда	452	None	None
65	,	462	None	None
66	строительные	464	None	None
67	отходы	477	None	None
68	,	483	None	None
69	отходы	485	None	None
70	теплоизоляционных	492	None	None
71	волокнистых	510	None	None
72	материалов	522	None	None
73	и	533	None	None
74	др.	535	None	None
75	С	538	None	None
76	выводом	540	None	None
77	энергоблоков	548	None	None
78	атомных	561	None	None
79	станций	569	None	None
80	из	577	None	None
81	эксплуатации	580	None	None
82	количество	593	None	None
83	радиоактивных	604	None	None
84	отходов	618	coref	1025
85	возрастет	626	None	None
