id,word,start_char,type,chain_id
0	Границы	0	None	None
1	Индии	8	None	None
2	и	14	None	None
3	России	16	None	None
4	заметно	23	None	None
5	сблизились	31	None	None
6	только	42	None	None
7	во	49	None	None
8	второй	52	None	None
9	половине	59	None	None
10	XIX	68	None	None
11	в	72	None	None
12	.	73	None	None
13	,	74	None	None
14	однако	76	None	None
15	торговые	83	None	None
16	и	92	None	None
17	культурные	94	None	None
18	отношения	105	None	None
19	между	115	None	None
20	этими	121	None	None
21	странами	127	None	None
22	восходят	136	None	None
23	к	145	None	None
24	весьма	147	None	None
25	отдаленной	154	None	None
26	эпохе	165	None	None
27	.	170	None	None
28	Индия	172	None	None
29	была	178	None	None
30	известна	183	None	None
31	уже	192	None	None
32	в	196	None	None
33	древней	198	None	None
34	Руси	206	None	None
35	как	211	None	None
36	страна	215	None	None
37	с	222	None	None
38	древней	224	None	None
39	и	232	None	None
40	глубокой	234	None	None
41	культурой	243	None	None
42	.	252	None	None
43	Отзвуки	254	None	None
44	давних	262	None	None
45	торговых	269	None	None
46	и	278	None	None
47	культурных	280	None	None
48	связей	291	None	None
49	с	298	None	None
50	Индией	300	None	None
51	имеются	307	None	None
52	уже	315	None	None
53	в	319	None	None
54	русском	321	None	None
55	эпосе	329	None	None
56	.	334	None	None
57	Древне	336	None	None
58	-	342	None	None
59	русские	343	None	None
60	былины	351	None	None
61	знают	358	None	None
62	богатырей	364	None	None
63	,	373	None	None
64	так	375	None	None
65	или	379	None	None
66	иначе	383	None	None
67	связанных	389	None	None
68	с	399	None	None
69	Индией	401	None	None
70	.	407	None	None
71	Один	409	None	None
72	из	414	None	None
73	богатырей	417	None	None
74	,	426	None	None
75	Дюк	428	None	None
76	Степанович	432	None	None
77	,	442	None	None
78	считается	444	None	None
79	даже	454	None	None
80	происходящим	459	None	None
81	из	472	None	None
82			475	None	None
83	Индии	476	None	None
84	богатой	482	None	None
85			489	None	None
86	.	490	None	None
87	Отголоском	492	None	None
88	этих	503	None	None
89	былинных	508	None	None
90	мотивов	517	None	None
91	является	525	None	None
92	фигура	534	None	None
93			541	None	None
94	индийского	542	None	None
95	гостя	553	None	None
96			558	None	None
97	в	560	None	None
98	опере	562	None	None
99	Римского	568	None	None
100	-	576	None	None
101	Корсакова	577	None	None
102			587	None	None
103	Садко	588	None	None
104			593	None	None
105	.	594	None	None
106	У	596	None	None
107	нас	598	coref	1061
108	нет	602	None	None
109	точных	606	None	None
110	исторических	613	None	None
111	данных	626	None	None
112	,	632	None	None
113	свидетельствующих	634	None	None
114	о	652	None	None
115	том	654	None	None
116	,	657	None	None
117	что	659	None	None
118	индийские	663	None	None
119	купцы	673	coref	1062
120	посещали	679	None	None
121	древнюю	688	None	None
122	Русь	696	None	None
123	,	700	None	None
124	но	702	None	None
125	они	705	coref	1062
126	несомненно	709	None	None
127	проживали	720	None	None
128	в	730	None	None
129	средние	732	None	None
130	века	740	None	None
131	на	745	None	None
132	кавказском	748	None	None
133	побережье	759	None	None
134	Каспийского	769	None	None
135	моря	781	None	None
136	и	786	None	None
137	в	788	None	None
138	Астрахани	790	None	None
139	.	799	None	None
140	Еще	801	None	None
141	в	805	None	None
142	XVIII	807	None	None
143	в	813	None	None
144	.	814	None	None
145	акад	816	coref	1063
146	.	820	None	None
147	П	822	None	None
148	.	823	None	None
149	С	825	None	None
150	.	826	None	None
151	Паллас	828	None	None
152	нашел	835	None	None
153	в	841	None	None
154	Астрахани	843	None	None
155	индийских	853	None	None
156	купцов	863	coref	1064
157	и	870	None	None
158	записал	872	None	None
159	образцы	880	None	None
160	их	888	coref	1064
161	языка	891	coref	1065
162	,	896	None	None
163	который	898	coref	1065
164	он	906	coref	1063
165	называл	909	None	None
166	мултанским	917	None	None
167	.	927	None	None
168	Несомненно	929	None	None
169	также	940	None	None
170	,	945	None	None
171	что	947	None	None
172	и	951	None	None
173	русские	953	None	None
174	купцы	961	None	None
175	в	967	None	None
176	средние	969	None	None
177	века	977	None	None
178	посещали	982	None	None
179	Индию	991	None	None
180	с	997	None	None
181	торговыми	999	None	None
182	целями	1009	None	None
183	.	1015	None	None
184	Наиболее	1017	None	None
185	яркий	1026	None	None
186	пример	1032	None	None
187	такого	1039	None	None
188	рода	1046	None	None
189	предприятий	1051	None	None
190	представляет	1063	None	None
191	путешествие	1076	None	None
192	тверского	1088	None	None
193	купца	1098	coref	1066
194	Афанасия	1104	None	None
195	Никитина	1113	None	None
196	,	1121	None	None
197	который	1123	coref	1066
198	был	1131	None	None
199	в	1135	None	None
200	Индии	1137	coref	1067
201	в	1143	None	None
202	1460	1145	None	None
203	-	1149	None	None
204	х	1150	None	None
205	гг	1152	None	None
206	.	1154	None	None
207	Никитин	1156	coref	1066
208	пробыл	1164	None	None
209	в	1171	None	None
210	Индии	1173	None	None
211	четыре	1179	None	None
212	года	1186	None	None
213	.	1190	None	None
214	Он	1192	coref	1066
215	оставил	1195	None	None
216	свои	1203	coref	1066
217	записки	1208	coref	1068
218	,	1215	None	None
219	знаменитое	1217	None	None
220			1228	None	None
221	Хождение	1229	coref	1068
222	за	1238	None	None
223	три	1241	None	None
224	моря	1245	None	None
225			1249	None	None
226	,	1250	None	None
227	в	1252	None	None
228	которых	1254	coref	1068
229	сообщает	1262	None	None
230	много	1271	None	None
231	ценных	1277	None	None
232	и	1284	None	None
233	интересных	1286	None	None
234	сведений	1297	None	None
235	об	1306	None	None
236	Индии	1309	coref	1067
237	.	1314	None	None
238	Наиболее	1316	None	None
239	подробно	1325	None	None
240	он	1334	coref	1066
241	описывает	1337	None	None
242	жизнь	1347	None	None
243	Декана	1353	None	None
244	,	1359	None	None
245	нынешние	1361	None	None
246	владения	1370	None	None
247	Низама	1379	None	None
248	Хайдерабадского	1386	None	None
249	.	1401	None	None
250	Записки	1403	coref	1068
251	Никитина	1411	coref	1066
252	представляют	1420	None	None
253	ценный	1433	None	None
254	источник	1440	None	None
255	для	1449	None	None
256	истории	1453	None	None
257	Декана	1461	None	None
258	XV	1468	None	None
259	в	1471	None	None
260	.	1472	None	None
261	Они	1474	coref	1066
262	переведены	1478	None	None
263	на	1489	None	None
264	английский	1492	None	None
265	и	1503	None	None
266	французский	1505	None	None
267	языки	1517	None	None
268	.	1522	None	None
269	Московские	1524	None	None
270	цари	1535	None	None
271	делали	1540	None	None
272	попытки	1547	None	None
273	установить	1555	None	None
274	дипломатические	1566	None	None
275	отношения	1582	None	None
276	с	1592	None	None
277	могульскими	1594	None	None
278	императорами	1606	None	None
279	.	1618	None	None
280	Заслуживает	1620	None	None
281	внимания	1632	None	None
282	посольство	1641	None	None
283	царя	1652	None	None
284	Алексея	1657	None	None
285	Михайловича	1665	None	None
286	1675	1677	None	None
287	г	1682	None	None
288	.	1683	None	None
289	к	1685	None	None
290	императору	1687	None	None
291	Аурангзебу	1698	None	None
292	.	1708	None	None
293	Царский	1710	None	None
294	посланец	1718	None	None
295	Исуп	1727	None	None
296	Касимов	1732	None	None
297	не	1740	None	None
298	достиг	1743	None	None
299	поставленной	1750	None	None
300	цели	1763	None	None
301	-	1768	None	None
302	установления	1770	None	None
303	дипломатических	1783	None	None
304	отношений	1799	None	None
305	и	1809	None	None
306	непосредственных	1811	None	None
307	торговых	1828	None	None
308	связей	1837	None	None
309	с	1844	None	None
310	Индией	1846	coref	1067
311	.	1852	None	None
312	В	1854	None	None
313	конце	1856	None	None
314	XVII	1862	None	None
315	в	1867	None	None
316	.	1868	None	None
317	и	1870	None	None
318	в	1872	None	None
319	начале	1874	None	None
320	XVIII	1881	None	None
321	в	1887	None	None
322	.	1888	None	None
323	Индию	1890	coref	1067
324	посетил	1896	None	None
325	русский	1904	None	None
326	купец	1912	coref	1069
327	Семен	1918	None	None
328	Маленький	1924	None	None
329	.	1933	None	None
330	Он	1935	coref	1069
331	был	1938	None	None
332	в	1942	None	None
333	Дели	1944	None	None
334	и	1949	None	None
335	Агре	1951	None	None
336	и	1956	None	None
337	представлялся	1958	None	None
338	великому	1972	None	None
339	Моголу	1981	None	None
340	.	1987	None	None
341	Один	1989	None	None
342	из	1994	None	None
343	его	1997	coref	1069
344	спутников	2001	None	None
345	оставил	2011	None	None
346	записки	2019	coref	1070
347	,	2026	None	None
348	в	2028	None	None
349	которых	2030	coref	1070
350	описано	2038	None	None
351	это	2046	None	None
352	путешествие	2050	None	None
353	.	2061	None	None
354	Таким	2063	None	None
355	образом	2069	None	None
356	,	2076	None	None
357	еще	2078	None	None
358	в	2082	None	None
359	тот	2084	None	None
360	период	2088	None	None
361	,	2094	None	None
362	когда	2096	None	None
363	в	2102	None	None
364	Европе	2104	None	None
365	Индия	2111	coref	1067
366	была	2117	None	None
