id,word,start_char,type,chain_id
0	Идут	0	None	None
1	с	5	None	None
2	севера	7	None	None
3	тучи	14	None	None
4	и	19	None	None
5	закрывают	21	None	None
6	запад	31	coref	198
7	,	36	None	None
8	который	38	coref	198
9	еще	46	None	None
10	дает	50	None	None
11	неверный	55	None	None
12	свет	64	None	None
13	деревенской	69	None	None
14	грязной	81	None	None
15	улице	89	None	None
16	.	94	None	None
17	В	96	None	None
18	избе	98	None	None
19	почти	103	None	None
20	темно	109	None	None
21	.	114	None	None
22	Баба	115	coref	199
23	разводит	120	None	None
24	огонь	129	None	None
25	на	135	None	None
26	загнетке	138	None	None
27	:	146	None	None
28	набила	148	None	None
29	в	155	None	None
30	чугун	157	None	None
31	яиц	163	None	None
32	,	166	None	None
33	хочет	168	None	None
34	делать	174	None	None
35	яичницу	181	None	None
36	.	188	None	None
37	В	190	None	None
38	другом	192	None	None
39	чугуне	199	coref	200
40	,	205	None	None
41	щербатом	207	None	None
42	,	215	None	None
43	она	217	coref	199
44	принесла	221	None	None
45	из	230	None	None
46	лавки	233	None	None
47	два	239	None	None
48	фунта	243	None	None
49	гречневой	249	None	None
50	крупы	259	None	None
51	.	264	None	None
52	Она	266	coref	199
53	поставила	270	None	None
54	его	280	coref	200
55	на	284	None	None
56	нары	287	None	None
57	,	291	None	None
58	и	293	None	None
59	ребятишки	295	None	None
60	,	304	None	None
61	один	306	None	None
62	за	311	None	None
63	другим	314	None	None
64	,	320	None	None
65	заголяясь	322	None	None
66	,	331	None	None
67	сошмыгнули	333	None	None
68	с	344	None	None
69	печки	346	None	None
70	,	351	None	None
71	сели	353	None	None
72	вокруг	358	None	None
73	чугуна	365	coref	200
74	,	371	None	None
75	горстями	373	None	None
76	,	381	None	None
77	торопливо	383	None	None
78	едят	393	None	None
79	сырую	398	None	None
80	крупу	404	None	None
81	,	409	None	None
82	закидывая	411	None	None
83	назад	421	None	None
84	головы	427	None	None
85	,	433	None	None
86	и	435	None	None
87	от	437	None	None
88	жадности	440	None	None
89	дерутся	449	None	None
90	.	456	None	None
91	На	457	None	None
92	лавке	460	None	None
93	возле	466	None	None
94	стола	472	None	None
95	,	477	None	None
96	облокотясь	479	None	None
97	на	490	None	None
98	подоконник	493	None	None
99	,	503	None	None
100	сидит	505	None	None
101	мелкопоместный	511	None	None
102	барин	526	coref	201
103	,	531	None	None
104	в	533	None	None
105	глубоких	535	None	None
106	калошах	544	None	None
107	,	551	None	None
108	в	553	None	None
109	теплой	555	None	None
110	поддевке	562	None	None
111	и	571	None	None
112	каракулевой	573	None	None
113	шапке	585	None	None
114	.	590	None	None
115	Ему	592	coref	201
116	двадцать	596	None	None
117	лет	605	None	None
118	,	608	None	None
119	он	610	coref	201
120	очень	613	None	None
121	велик	619	None	None
122	,	624	None	None
123	худ	626	None	None
124	и	630	None	None
125	узкогруд	632	None	None
126	.	640	None	None
127	Глаза	642	None	None
128	у	648	None	None
129	него	650	coref	201
130	чахоточные	655	None	None
131	,	665	None	None
132	темные	667	None	None
133	;	673	None	None
134	рот	675	None	None
135	большой	679	None	None
136	,	686	None	None
137	белая	688	None	None
138	тонкая	694	None	None
139	шея	701	None	None
140	,	704	None	None
141	со	706	None	None
142	впадинами	709	None	None
143	за	719	None	None
144	ушами	722	None	None
145	,	727	None	None
146	закутана	729	None	None
147	розовым	738	None	None
148	гарусным	746	None	None
149	платком	755	None	None
150	жены	763	None	None
151	.	767	None	None
152	Он	769	coref	201
153	недавно	772	None	None
154	женился	780	None	None
155	на	788	None	None
156	дочери	791	None	None
157	винокура	798	None	None
158	,	806	None	None
159	но	808	None	None
160	уже	811	None	None
161	соскучился	815	None	None
162	с	826	None	None
163	женой	828	None	None
164	и	834	None	None
165	ходит	836	None	None
166	по	842	None	None
167	вечерам	845	None	None
168	к	853	None	None
169	соседу	855	coref	202
170	,	861	None	None
171	к	863	None	None
172	Никифору	865	coref	202
173	:	873	None	None
174	заставляет	875	None	None
175	его	886	coref	202
176	рассказывать	890	None	None
177	сказки	903	None	None
178	и	910	None	None
179	были	912	None	None
180	,	916	None	None
181	плохо	918	None	None
182	слушает	924	None	None
183	,	931	None	None
184	но	933	None	None
185	дарит	936	None	None
186	за	942	None	None
187	работу	945	None	None
188	то	952	None	None
189	гривенник	955	None	None
190	,	964	None	None
191	то	966	None	None
192	двугривенный	969	None	None
193	.	981	None	None
194	Никифор	982	coref	202
195	-	990	None	None
196	мужик	992	coref	202
197	еще	998	None	None
198	молодой	1002	None	None
199	,	1009	None	None
200	но	1011	None	None
201	сумрачный	1014	None	None
202	.	1023	None	None
203	Как	1025	None	None
204	попал	1029	None	None
205	он	1035	coref	202
206	в	1038	None	None
207	сказочники	1040	None	None
208	,	1050	None	None
209	ему	1052	coref	202
210	самому	1056	None	None
211	непонятно	1063	None	None
212	.	1072	None	None
213	Началось	1074	None	None
214	с	1083	None	None
215	шутки	1085	None	None
216	:	1090	None	None
217	рассказал	1092	None	None
218	однажды	1102	None	None
219	какой	1110	None	None
220	-	1115	None	None
221	то	1116	None	None
222	пустяк	1119	None	None
223	,	1125	None	None
224	а	1127	None	None
225	барину	1129	coref	201
226	понравилось	1136	None	None
227	,	1147	None	None
228	-	1149	None	None
229	смеясь	1151	None	None
230	,	1157	None	None
231	он	1159	coref	201
232	дал	1162	None	None
233	на	1166	None	None
234	полбутылки	1169	None	None
235	и	1180	None	None
236	,	1181	None	None
237	зайдя	1183	None	None
238	на	1189	None	None
239	другой	1192	None	None
240	день	1199	None	None
241	,	1203	None	None
242	потребовал	1205	None	None
243	нового	1216	None	None
244	рассказа	1223	None	None
245	.	1231	None	None
246	Пришлось	1233	None	None
247	вспоминать	1242	None	None
248	всякую	1253	None	None
249	чепуху	1260	None	None
250	,	1266	None	None
251	порою	1268	None	None
252	выдумывать	1274	None	None
253	что	1285	None	None
254	попало	1289	None	None
255	,	1295	None	None
256	порою	1297	None	None
257	брать	1303	None	None
258	на	1309	None	None
259	себя	1312	coref	202
260	всякую	1317	None	None
261	небылицу	1324	None	None
262	.	1332	None	None
263	Притворяться	1334	None	None
264	балагуром	1347	None	None
265	,	1356	None	None
266	сказочником	1358	None	None
267	неловко	1370	None	None
268	,	1377	None	None
269	но	1379	None	None
270	неловко	1382	None	None
271	и	1390	None	None
272	сознаться	1392	None	None
273	,	1401	None	None
274	что	1403	None	None
275	нечего	1407	None	None
276	рассказывать	1414	None	None
277	.	1426	None	None
278	Да	1428	None	None
279	и	1431	None	None
280	как	1433	None	None
281	упустить	1437	None	None
282	заработок	1446	None	None
283	?	1455	None	None
284	Все	1457	None	None
285	-	1460	None	None
286	таки	1461	None	None
287	не	1466	None	None
288	всегда	1469	None	None
289	засыпают	1476	None	None
290	голодными	1485	None	None
291	ребятишки	1495	None	None
292	,	1504	None	None
293	закусишь	1506	None	None
294	и	1515	None	None
295	сам	1517	None	None
296	иной	1521	None	None
297	раз	1526	None	None
298	,	1529	None	None
299	купишь	1531	None	None
300	табаку	1538	None	None
301	,	1544	None	None
302	соли	1546	None	None
303	,	1550	None	None
304	мучицы	1552	None	None
305	,	1558	None	None
306	а	1560	None	None
307	не	1562	None	None
308	то	1565	None	None
309	,	1567	None	None
310	как	1569	None	None
311	вот	1573	None	None
312	нынче	1577	None	None
313	,	1582	None	None
314	крупы	1584	None	None
315	,	1589	None	None
316	яиц	1591	None	None
317	.	1594	None	None
318	Никифор	1595	coref	202
319	сидит	1603	None	None
320	за	1609	None	None
321	столом	1612	None	None
322	,	1618	None	None
323	насупясь	1620	None	None
324	.	1628	None	None
325	Надо	1630	None	None
326	рассказывать	1635	None	None
327	,	1647	None	None
328	а	1649	None	None
329	ничего	1651	None	None
330	не	1658	None	None
331	придумаешь	1661	None	None
332	.	1671	None	None
333	Держа	1673	None	None
334	в	1679	None	None
335	зубах	1681	None	None
336	трубку	1687	None	None
337	,	1693	None	None
338	вытянув	1695	None	None
339	верхнюю	1703	None	None
340	губу	1711	None	None
341	,	1715	None	None
342	глядя	1717	None	None
343	в	1723	None	None
344	землю	1725	None	None
345	,	1730	None	None
346	он	1732	coref	202
347	до	1735	None	None
348	зеленой	1738	None	None
349	пыли	1746	None	None
350	растирает	1751	None	None
351	на	1761	None	None
352	ладони	1764	None	None
353	над	1771	None	None
354	кисетом	1775	None	None
355	корешки	1783	None	None
356	,	1790	None	None
357	выгадывая	1792	None	None
358	время	1802	None	None
359	.	1807	None	None
360	Барин	1809	coref	201
361	ждет	1815	None	None
362	спокойно	1820	None	None
363	,	1828	None	None
364	но	1830	None	None
365	ждет	1833	None	None
366	.	1837	None	None
367	Хворост	1839	None	None
368	под	1847	None	None
369	чугуном	1851	None	None
370	разгорается	1859	None	None
371	,	1870	None	None
372	но	1872	None	None
373	свет	1875	None	None
374	держится	1880	None	None
375	только	1889	None	None
376	возле	1896	None	None
377	печки	1902	None	None
378	;	1907	None	None
379	уже	1909	None	None
380	не	1913	None	None
381	видно	1916	None	None
382	визжащих	1922	None	None
383	ребятишек	1931	None	None
384	,	1940	None	None
385	смутно	1942	None	None
386	и	1949	None	None
387	лицо	1951	None	None
388	барина	1956	coref	201
389	.	1962	None	None
390	Однако	1964	None	None
391	Никифор	1971	coref	202
392	не	1979	None	None
393	поднимает	1982	None	None
394	глаз	1992	None	None
395	,	1996	None	None
396	боясь	1998	None	None
397	выдать	2004	None	None
398	свое	2011	coref	202
399	раздражение	2016	None	None
400	.	2027	None	None
401	Рассказывать	2029	None	None
402	нечего	2042	None	None
403	,	2048	None	None
404	но	2050	None	None
405	раздражение	2053	None	None
406	помогает	2065	None	None
407	.	2073	None	None
408	Притворяясь	2075	None	None
409	думающим	2087	None	None
410	,	2095	None	None
411	он	2097	coref	202
412	медленно	2100	None	None
413	,	2108	None	None
414	невыразительно	2110	None	None
415	начинает	2125	None	None
416	:	2133	None	None
417	-	2134	None	None
418	Старые	2136	None	None
419	права	2143	None	None
420	были	2149	None	None
421	хитрый	2154	None	None
422	...	2160	None	None
423	Вот	2164	None	None
424	так	2168	None	None
425	-	2171	None	None
426	то	2172	None	None
427	поехал	2175	None	None
428	один	2182	None	None
429	мужик	2187	coref	203
430	за	2193	None	None
431	дровами	2196	None	None
432	в	2204	None	None
433	лес	2206	None	None
434	,	2209	None	None
435	дело	2211	None	None
436	было	2216	None	None
437	,	2220	None	None
438	конечно	2222	None	None
439	,	2229	None	None
440	зимой	2231	None	None
441	,	2236	None	None
442	самый	2238	None	None
443	холод	2244	None	None
444	ужасный	2250	None	None
445	,	2257	None	None
446	и	2259	None	None
447	встречается	2261	None	None
448	с	2273	None	None
449	барином	2275	coref	204
450	...	2282	None	None
451	У	2286	None	None
452	мужика	2288	coref	203
453	,	2294	None	None
454	конечно	2296	None	None
455	,	2303	None	None
456	лошадь	2305	None	None
457	плохая	2312	None	None
458	,	2318	None	None
459	и	2320	None	None
460	барин	2322	coref	204
461	попался	2328	None	None
462	злой	2336	None	None
463	.	2340	None	None
464	Ну	2342	None	None
465	,	2344	None	None
466	встречается	2346	None	None
467	с	2358	None	None
468	ним	2360	coref	203
469	,	2363	None	None
470	кричит	2365	None	None
471	:	2371	None	None
472			2373	None	None
473	Сворачивай	2374	None	None
474	с	2385	None	None
475	дороги	2387	None	None
476	...	2393	None	None
477			2396	None	None
478	Снег	2398	None	None
479	был	2403	None	None
480	глубокий	2407	None	None
481	,	2415	None	None
482	мужик	2417	coref	203
483	с	2423	None	None
484	дороги	2425	None	None
485	не	2432	None	None
486	сворачивает	2435	None	None
487	,	2446	None	None
488	говорит	2448	None	None
489	:	2455	None	None
490			2457	None	None
491	Куда	2458	None	None
492	ж	2463	None	None
493	мне	2465	coref	203
494	сворачивать	2469	None	None
495	?	2480	None	None
496	вы	2482	coref	204
497	,	2484	None	None
498	говорит	2486	None	None
499	,	2493	None	None
500	на	2495	None	None
501	тройке	2498	None	None
502	,	2504	None	None
503	а	2506	None	None
504	я	2508	coref	203
505	на	2510	None	None
506	одной	2513	None	None
507	,	2518	None	None
508	да	2520	None	None
509	еще	2523	None	None
510	с	2527	None	None
511	возом	2529	None	None
512	...	2534	None	None
513			2537	None	None
514	Барин	2539	coref	204
515	вскакивает	2545	None	None
516	,	2555	None	None
517	сшиб	2557	None	None
518	его	2562	coref	203
519	с	2566	None	None
520	ног	2568	None	None
521	долой	2572	None	None
522	,	2577	None	None
523	давай	2579	None	None
524	кутузкой	2585	None	None
525	гладить	2594	None	None
526	...	2601	None	None
527	Отгладил	2605	None	None
528	раз	2614	None	None
529	,	2617	None	None
530	мужик	2619	coref	203
531	отвечает	2625	None	None
532	:	2633	None	None
533			2635	None	None
534	За	2636	None	None
535	вами	2639	coref	204
536	,	2643	None	None
537	говорит	2645	None	None
538	,	2652	None	None
539	должок	2654	None	None
540			2660	None	None
541	.	2661	None	None
542	Барин	2663	coref	204
543	глядит	2669	None	None
544	,	2675	None	None
545	что	2677	None	None
546	такое	2681	None	None
547	он	2687	coref	203
548	буровит	2690	None	None
549	,	2697	None	None
550	дурак	2699	coref	203
551	,	2704	None	None
552	мол	2706	None	None
553	,	2709	None	None
