id,word,start_char,type,chain_id
0	Итак	0	None	None
1	,	4	None	None
2	в	6	None	None
3	числе	8	None	None
4	этой	14	None	None
5	дворни	19	coref	210
6	,	25	None	None
7	которой	27	coref	210
8	было	35	None	None
9	множество	40	None	None
10	и	50	None	None
11	кроме	52	None	None
12	Макара	58	coref	211
13	Иванова	65	None	None
14	,	72	None	None
15	была	74	None	None
16	одна	79	None	None
17	девица	84	coref	212
18	,	90	None	None
19	и	92	None	None
20	была	94	None	None
21	уже	99	None	None
22	лет	103	None	None
23	восемнадцати	107	None	None
24	,	119	None	None
25	когда	121	None	None
26	пятидесятилетний	127	None	None
27	Макар	144	coref	211
28	Долгорукий	150	None	None
29	вдруг	161	None	None
30	обнаружил	167	None	None
31	намерение	177	None	None
32	на	187	None	None
33	ней	190	coref	212
34	жениться	194	None	None
35	.	202	None	None
36	Браки	204	None	None
37	дворовых	210	None	None
38	,	218	None	None
39	как	220	None	None
40	известно	224	None	None
41	,	232	None	None
42	происходили	234	None	None
43	во	246	None	None
44	времена	249	None	None
45	крепостного	257	None	None
46	права	269	None	None
47	с	275	None	None
48	дозволения	277	None	None
49	господ	288	coref	213
50	,	294	None	None
51	а	296	None	None
52	иногда	298	None	None
53	и	305	None	None
54	прямо	307	None	None
55	по	313	None	None
56	распоряжению	316	None	None
57	их	329	coref	213
58	.	331	None	None
59	При	333	None	None
60	имении	337	None	None
61	находилась	344	None	None
62	тогда	355	None	None
63	тетушка	361	coref	214
64	;	368	None	None
65	то	370	None	None
66	есть	373	None	None
67	она	378	coref	214
68	мне	382	coref	215
69	не	386	None	None
70	тетушка	389	None	None
71	,	396	None	None
72	а	398	None	None
73	сама	400	None	None
74	помещица	405	coref	214
75	;	413	None	None
76	но	415	None	None
77	,	417	None	None
78	не	419	None	None
79	знаю	422	None	None
80	почему	427	None	None
81	,	433	None	None
82	все	435	None	None
83	всю	439	None	None
84	жизнь	443	None	None
85	ее	449	coref	214
86	звали	452	None	None
87	тетушкой	458	None	None
88	,	466	None	None
89	не	468	None	None
90	только	471	None	None
91	моей	478	coref	215
92	,	482	None	None
93	но	484	None	None
94	и	487	None	None
95	вообще	489	None	None
96	,	495	None	None
97	равно	497	None	None
98	как	503	None	None
99	и	507	None	None
100	в	509	None	None
101	семействе	511	None	None
102	Версилова	521	coref	216
103	,	530	None	None
104	которому	532	coref	216
105	она	541	coref	214
106	чуть	545	None	None
107	ли	550	None	None
108	и	553	None	None
109	в	555	None	None
110	самом	557	None	None
111	деле	563	None	None
112	не	568	None	None
113	сродни	571	None	None
114	.	577	None	None
115	Это	579	None	None
116	-	583	None	None
117	Татьяна	585	coref	214
118	Павловна	593	None	None
119	Пруткова	602	None	None
120	.	610	None	None
121	Тогда	612	None	None
122	у	618	None	None
123	ней	620	coref	214
124	еще	624	None	None
125	было	628	None	None
126	в	633	None	None
127	той	635	None	None
128	же	639	None	None
129	губернии	642	None	None
130	и	651	None	None
131	в	653	None	None
132	том	655	None	None
133	же	659	None	None
134	уезде	662	None	None
135	тридцать	668	None	None
136	пять	677	None	None
137	своих	682	coref	214
138	душ	688	None	None
139	.	691	None	None
140	Она	693	coref	214
141	не	697	None	None
142	то	700	None	None
143	что	703	None	None
144	управляла	707	None	None
145	,	716	None	None
146	но	718	None	None
147	по	721	None	None
148	соседству	724	None	None
149	надзирала	734	None	None
150	над	744	None	None
151	имением	748	None	None
152	Версилова	756	coref	216
153	(	766	None	None
154	в	767	None	None
155	пятьсот	769	None	None
156	душ	777	None	None
157	)	780	None	None
158	,	781	None	None
159	и	783	None	None
160	этот	785	None	None
161	надзор	790	None	None
162	,	796	None	None
163	как	798	None	None
164	я	802	coref	215
165	слышал	804	None	None
166	,	810	None	None
167	стоил	812	None	None
168	надзора	818	None	None
169	какого	826	None	None
170	-	832	None	None
171	нибудь	833	None	None
172	управляющего	840	None	None
173	из	853	None	None
174	ученых	856	None	None
175	.	862	None	None
176	Впрочем	864	None	None
177	,	871	None	None
178	до	873	None	None
179	знаний	876	None	None
180	ее	883	coref	214
181	мне	886	coref	215
182	решительно	890	None	None
183	нет	901	None	None
184	дела	905	None	None
185	;	909	None	None
186	я	911	coref	215
187	только	913	None	None
188	хочу	920	None	None
189	прибавить	925	None	None
190	,	934	None	None
