id,word,start_char,type,chain_id
0	III	0	None	None
1	В	9	None	None
2	угловой	5	None	None
3	башне	13	None	None
4	была	19	None	None
5	келья	24	coref	296
6	испанской	30	None	None
7	военной	40	None	None
8	тюрьмы	48	None	None
9	.	54	None	None
10	На	56	None	None
11	одно	59	None	None
12	мгновение	64	None	None
13	красный	74	None	None
14	огонек	82	None	None
15	,	88	None	None
16	светивший	90	None	None
17	из	100	None	None
18	ее	103	coref	296
19	окна	106	None	None
20	,	110	None	None
21	затмился	112	None	None
22	,	120	None	None
23	и	122	None	None
24	за	124	None	None
25	решеткой	127	None	None
26	силуэтом	136	None	None
27	обрисовалась	145	None	None
28	фигура	158	None	None
29	человека	165	coref	297
30	.	173	None	None
31	Кто	175	None	None
32	-	178	None	None
33	то	179	None	None
34	посмотрел	182	None	None
35	оттуда	192	None	None
36	на	199	None	None
37	темное	202	None	None
38	море	209	None	None
39	и	214	None	None
40	отошел	216	None	None
41	.	222	None	None
42	Огонек	224	None	None
43	опять	231	None	None
44	заколебался	237	None	None
45	красными	249	None	None
46	отражениями	258	None	None
47	на	270	None	None
48	верхушках	273	None	None
49	валов	283	None	None
50	.	288	None	None
51	Это	290	None	None
52	был	294	None	None
53	Хуан	298	coref	297
54	-	302	None	None
55	Мария	303	None	None
56	-	308	None	None
57	Хозе	309	None	None
58	-	313	None	None
59	Мигуэль	314	None	None
60	-	321	None	None
61	Диац	322	None	None
62	,	326	None	None
63	инсургент	328	coref	297
64	и	338	None	None
65	флибустьер	340	coref	297
66	.	350	None	None
67	В	352	None	None
68	прошлое	354	None	None
69	восстание	362	None	None
70	испанцы	372	None	None
71	взяли	380	None	None
72	его	386	coref	297
73	в	390	None	None
74	плен	392	None	None
75	и	397	None	None
76	приговорили	399	None	None
77	к	411	None	None
78	смерти	413	None	None
79	,	419	None	None
80	но	421	None	None
81	затем	424	None	None
82	,	429	None	None
83	по	431	None	None
84	прихоти	434	None	None
85	чьего	442	None	None
86	-	447	None	None
87	то	448	None	None
88	милосердия	451	None	None
89	,	461	None	None
90	он	463	coref	297
91	был	466	None	None
92	помилован	470	None	None
93	.	479	None	None
94	Ему	481	coref	297
95	подарили	485	None	None
96	жизнь	494	None	None
97	,	499	None	None
98	то	501	None	None
99	есть	504	None	None
100	привезли	509	None	None
101	на	518	None	None
102	этот	521	None	None
103	остров	526	None	None
104	и	533	None	None
105	посадили	535	None	None
106	в	544	None	None
107	башню	546	None	None
108	.	551	None	None
109	Здесь	553	None	None
110	с	559	None	None
111	него	561	coref	297
112	сняли	566	None	None
113	оковы	572	coref	298
114	.	577	None	None
115	Они	579	coref	298
116	были	583	None	None
117	не	588	None	None
118	нужны	591	None	None
119	:	596	None	None
120	стены	598	None	None
121	были	604	None	None
122	из	609	None	None
123	камня	612	None	None
124	,	617	None	None
125	в	619	None	None
126	окне	621	None	None
127	-	626	None	None
128	толстая	628	None	None
129	железная	636	None	None
130	решетка	645	None	None
131	,	652	None	None
132	за	654	None	None
133	окном	657	None	None
134	-	663	None	None
135	море	665	None	None
136	.	669	None	None
137	Его	671	coref	297
138	жизнь	675	None	None
139	состояла	681	None	None
140	в	690	None	None
141	том	692	None	None
142	,	695	None	None
143	что	697	None	None
144	он	701	coref	297
145	мог	704	None	None
146	смотреть	708	None	None
147	в	717	None	None
148	окно	719	None	None
149	на	724	None	None
150	далекий	727	None	None
151	берег	735	coref	299
152	...	740	None	None
153	И	744	None	None
154	вспоминать	746	None	None
155	...	756	None	None
156	И	760	None	None
157	,	761	None	None
158	может	763	None	None
159	быть	769	None	None
160	,	773	None	None
161	еще	775	None	None
162	-	779	None	None
163	надеяться	781	None	None
164	.	790	None	None
165	Первое	791	None	None
166	время	798	None	None
167	,	803	None	None
168	в	805	None	None
169	светлые	807	None	None
170	дни	815	None	None
171	,	818	None	None
172	когда	820	None	None
173	солнце	826	None	None
174	сверкало	833	None	None
175	на	842	None	None
176	верхушках	845	None	None
177	синих	855	None	None
178	волн	861	None	None
179	и	866	None	None
180	выдвигало	868	None	None
181	далекий	878	None	None
182	берег	886	coref	299
183	,	891	None	None
184	он	893	coref	297
185	подолгу	896	None	None
186	смотрел	904	None	None
187	туда	912	None	None
188	,	916	None	None
189	вглядываясь	918	None	None
190	в	930	None	None
191	очертания	932	None	None
192	родных	942	None	None
193	гор	949	None	None
194	,	952	None	None
195	в	954	None	None
196	выступавшие	956	None	None
197	неясными	968	None	None
198	извилинами	977	None	None
199	ущелья	988	None	None
200	,	994	None	None
201	в	996	None	None
202	чуть	998	None	None
203	заметные	1003	None	None
204	пятнышки	1012	None	None
205	далеких	1021	None	None
206	деревень	1029	None	None
207	...	1037	None	None
208	Угадывал	1041	None	None
209	бухты	1050	None	None
210	,	1055	None	None
211	дороги	1057	None	None
212	,	1063	None	None
213	горные	1065	None	None
214	тропинки	1072	coref	300
215	,	1080	None	None
216	по	1082	None	None
217	которым	1085	coref	300
218	,	1092	None	None
219	казалось	1094	None	None
220	ему	1103	coref	297
221	,	1106	None	None
222	бродят	1108	None	None
223	легкие	1115	None	None
224	тени	1122	coref	301
225	и	1127	None	None
226	среди	1129	None	None
227	них	1135	coref	301
228	одна	1139	None	None
229	,	1143	None	None
230	когда	1145	None	None
231	-	1150	None	None
232	то	1151	None	None
233	близкая	1154	None	None
234	ему	1162	coref	297
235	...	1165	None	None
236	Он	1169	coref	297
237	ждал	1172	None	None
238	,	1176	None	None
239	что	1178	None	None
240	в	1182	None	None
241	горах	1184	None	None
242	опять	1190	None	None
243	засверкают	1196	None	None
244	огоньки	1207	None	None
245	выстрелов	1215	None	None
246	с	1225	None	None
247	клубками	1227	None	None
248	дыма	1236	None	None
249	,	1240	None	None
250	что	1242	None	None
251	по	1246	None	None
252	волнам	1249	None	None
253	оттуда	1256	None	None
254	,	1262	None	None
255	с	1264	None	None
256	дальнего	1266	None	None
257	берега	1275	coref	299
258	,	1281	None	None
259	понесутся	1283	None	None
260	паруса	1293	None	None
261	с	1300	None	None
262	родным	1302	None	None
263	флагом	1309	None	None
264	возмущенья	1316	None	None
265	и	1327	None	None
266	свободы	1329	None	None
267	.	1336	None	None
268	Он	1338	coref	297
269	готовился	1341	None	None
270	к	1351	None	None
271	этому	1353	None	None
272	и	1359	None	None
273	терпеливо	1361	None	None
274	,	1370	None	None
275	осторожно	1372	None	None
276	,	1381	None	None
277	настойчиво	1383	None	None
278	долбил	1394	None	None
279	камень	1401	None	None
280	около	1408	None	None
281	ржавой	1414	None	None
282	решетки	1421	None	None
283	.	1428	None	None
284	Но	1429	None	None
285	годы	1432	None	None
286	шли	1437	None	None
287	.	1440	None	None
288	На	1442	None	None
289	берегу	1445	coref	299
290	все	1452	None	None
291	было	1456	None	None
292	спокойно	1461	None	None
293	,	1469	None	None
294	в	1471	None	None
295	ущельях	1473	None	None
296	лежала	1481	None	None
297	синяя	1488	None	None
298	мгла	1494	None	None
299	,	1498	None	None
300	от	1500	None	None
301	берега	1503	None	None
302	отделялся	1510	None	None
303	лишь	1520	None	None
304	небольшой	1525	None	None
305	испанский	1535	None	None
306	сторожевой	1545	None	None
307	катер	1556	None	None
308	,	1561	None	None
309	да	1563	None	None
310	мирные	1566	None	None
311	рыбачьи	1573	None	None
312	суда	1581	None	None
313	сновали	1586	None	None
314	по	1594	None	None
315	морю	1597	None	None
316	,	1601	None	None
317	как	1603	None	None
318	морские	1607	None	None
319	чайки	1615	None	None
320	за	1621	None	None
321	добычей	1624	None	None
322	...	1631	None	None
323	Понемногу	1634	None	None
324	все	1644	None	None
325	прошлое	1648	None	None
326	становилось	1656	None	None
327	для	1668	None	None
328	него	1672	coref	297
329	,	1676	None	None
330	как	1678	None	None
331	сон	1682	None	None
332	.	1685	None	None
333	Как	1687	None	None
334	во	1691	None	None
335	сне	1694	None	None
336	,	1697	None	None
337	дремал	1699	None	None
338	в	1706	None	None
339	золотистом	1708	None	None
340	тумане	1719	None	None
341	усмирившийся	1726	None	None
342	берег	1739	coref	299
343	,	1744	None	None
344	и	1746	None	None
345	во	1748	None	None
346	сне	1751	None	None
347	же	1755	None	None
348	бродили	1758	None	None
349	по	1766	None	None
350	нем	1769	coref	299
351	призрачные	1773	None	None
352	тени	1784	None	None
353	давно	1789	None	None
354	прошедшего	1795	None	None
355	...	1805	None	None
356	А	1809	None	None
357	когда	1811	None	None
358	от	1817	None	None
359	берега	1820	coref	299
360	отделялся	1827	None	None
361	дымок	1837	None	None
362	и	1843	None	None
363	,	1844	None	None
364	разрезая	1846	None	None
365	волны	1855	None	None
366	,	1860	None	None
367	бежал	1862	None	None
368	военный	1868	None	None
369	катер,	1876	None	None
370	-	1883	None	None
371	он	1885	coref	297
372	знал	1888	None	None
373	:	1892	None	None
374	это	1894	None	None
375	везут	1898	None	None
376	на	1904	None	None
377	остров	1907	None	None
378	новую	1914	None	None
379	смену	1920	None	None
380	тюремщиков	1926	None	None
381	и	1937	None	None
382	стражи	1939	None	None
383	...	1945	None	None
384	И	1948	None	None
385	еще	1950	None	None
386	годы	1954	None	None
387	прошли	1959	None	None
388	в	1966	None	None
389	этой	1968	None	None
390	летаргии	1973	None	None
391	.	1981	None	None
392	Хуан	1983	coref	297
393	-	1987	None	None
394	Мария	1988	None	None
395	-	1993	None	None
396	Мигуэль	1994	None	None
397	-	2001	None	None
398	Хозе	2002	None	None
399	-	2006	None	None
400	Диац	2007	None	None
401	успокоился	2012	None	None
402	и	2023	None	None
403	стал	2025	None	None
404	забывать	2030	None	None
405	даже	2039	None	None
406	свои	2044	coref	297
407	сны	2049	None	None
408	.	2052	None	None
409	Даже	2054	None	None
410	на	2059	None	None
411	дальний	2062	None	None
412	берег	2070	coref	299
413	он	2076	coref	297
414	смотрел	2079	None	None
415	уже	2087	None	None
416	с	2091	None	None
417	тупым	2093	None	None
418	равнодушием	2099	None	None
419	и	2111	None	None
420	давно	2113	None	None
421	уже	2119	None	None
422	перестал	2123	None	None
423	долбить	2132	None	None
424	решетку	2140	None	None
425	...	2147	None	None
426	К	2151	None	None
427	чему	2153	None	None
428	?	2157	None	None
429	.	2158	None	None
430	.	2159	None	None
431	Только	2160	None	None
432	когда	2167	None	None
433	поднимался	2173	None	None
434	восточный	2184	None	None
435	ветер	2194	None	None
436	,	2199	None	None
437	особенно	2201	None	None
438	сильный	2210	None	None
439	в	2218	None	None
440	этих	2220	None	None
441	местах	2225	None	None
442	,	2231	None	None
443	и	2233	None	None
444	волны	2235	None	None
445	начинали	2241	None	None
446	шевелить	2250	None	None
447	камнями	2259	None	None
448	на	2267	None	None
449	откосе	2270	None	None
450	маленького	2277	None	None
451	острова	2288	None	None
452	,	2295	None	None
453	-	2297	None	None
454	в	2299	None	None
455	глубине	2301	None	None
456	его	2309	coref	297
457	души	2313	None	None
458	,	2317	None	None
459	как	2319	None	None
460	эти	2323	None	None
461	камни	2327	None	None
462	на	2333	None	None
463	дне	2336	None	None
