id,word,start_char,type,chain_id
0	Позвольте	0	None	None
1	представиться	10	None	None
2	.	23	None	None
3	Мне	25	None	None
4	полтора	29	None	None
5	года	37	None	None
6	.	41	None	None
7	Меня	43	None	None
8	зовут	48	None	None
9	Полина	54	coref	2168
10	,	60	None	None
11	но	62	None	None
12	недавно	65	None	None
13	,	72	None	None
14	когда	74	None	None
15	я	80	coref	2168
16	рисовала	82	None	None
17	в	91	None	None
18	папином	93	None	None
19	паспорте	101	None	None
20	,	109	None	None
21	я	111	coref	2168
22	узнала	113	None	None
23	,	119	None	None
24	что	121	None	None
25	меня	125	coref	2168
26	зовут	130	None	None
27	Полина	136	coref	2168
28	Сергеевна	143	None	None
29	.	152	None	None
30	Красиво	154	None	None
31	!	161	None	None
32	Началась	163	None	None
33	моя	172	coref	2168
34	жизнь	176	None	None
35	в	182	None	None
36	тот	184	None	None
37	момент	188	None	None
38	,	194	None	None
39	когда	196	None	None
40	я	202	coref	2168
41	чихнула	204	None	None
42	и	212	None	None
43	мне	214	coref	2168
44	на	218	None	None
45	ножку	221	None	None
46	прицепили	227	None	None
47	зеленую	237	None	None
48	бирочку	245	None	None
49	:	252	None	None
50			254	None	None
51	живая	255	None	None
52	девочка	261	None	None
53			268	None	None
54	.	269	None	None
55	Ну	271	None	None
56	,	273	None	None
57	конечно	275	None	None
58	,	282	None	None
59	когда	284	None	None
60	меня	290	coref	2168
61	привезли	295	None	None
62	домой	304	None	None
63	,	309	None	None
64	восторгу	311	None	None
65	по	320	None	None
66	поводу	323	None	None
67	рождения	330	None	None
68	долгожданной	339	None	None
69	дочки	352	None	None
70	(	358	None	None
71	внучки	359	None	None
72	,	365	None	None
73	правнучки	367	None	None
74	,	376	None	None
75	кисоньки	378	None	None
76	и	387	None	None
77	солнышка	389	None	None
78	)	397	None	None
79	не	399	None	None
80	было	402	None	None
81	конца	407	None	None
82	,	412	None	None
83	но	414	None	None
84	уже	417	None	None
85	на	421	None	None
86	следующий	424	None	None
87	день	434	coref	2169
88	,	438	None	None
89	а	440	None	None
90	начался	442	None	None
91	он	450	coref	2169
92	в	453	None	None
93	5.30	455	None	None
94	.	459	None	None
95	,	460	None	None
96	реакция	462	None	None
97	на	470	None	None
98	меня	473	coref	2168
99	была	478	None	None
100	уже	483	None	None
101	не	487	None	None
102	такой	490	None	None
103	однозначной	496	None	None
104	.	507	None	None
105	С	509	None	None
106	тех	511	None	None
107	пор	515	None	None
108	я	519	coref	2168
109	немного	521	None	None
110	подросла	529	None	None
111	,	537	None	None
112	и	539	None	None
113	даже	541	None	None
114	поумнела	546	None	None
115	,	554	None	None
116	как	556	None	None
117	мне	560	coref	2168
118	кажется	564	None	None
119	,	571	None	None
120	по	573	None	None
121	крайней	576	None	None
122	мере	584	None	None
123	,	588	None	None
124	я	590	coref	2168
125	уже	592	None	None
126	серьезно	596	None	None
127	начинаю	605	None	None
128	задумываться	613	None	None
129	о	626	None	None
130	том	628	None	None
131	,	631	None	None
132	что	633	None	None
133	пора	637	None	None
134	,	641	None	None
135	пора	643	None	None
136	написать	648	None	None
137	пособие	657	None	None
138	для	665	None	None
139	начинающих	669	None	None
140	на	680	None	None
141	тему	683	None	None
142	:	687	None	None
143			689	None	None
144	Как	690	None	None
145	добиться	694	None	None
146	того	703	None	None
147	,	707	None	None
148	чтобы	709	None	None
149	родители	715	None	None
150	не	724	None	None
151	только	727	None	None
152	тебя	734	None	None
153	не	739	None	None
154	наказывали	742	None	None
155	,	752	None	None
156	но	754	None	None
157	еще	757	None	None
158	и	761	None	None
159	выполняли	763	None	None
160	все	773	None	None
161	желания	777	None	None
162			784	None	None
163	.	785	None	None
164	У	787	None	None
165	меня	789	coref	2168
166	в	794	None	None
167	этом	796	None	None
168	большой	801	None	None
169	жизненный	809	None	None
170	опыт	819	None	None
171	,	823	None	None
172	и	825	None	None
173	,	826	None	None
174	поверьте	828	None	None
175	,	836	None	None
176	до	838	None	None
177	всего	841	None	None
178	доходишь	847	None	None
179	методом	856	None	None
180	проб	864	None	None
181	и	869	None	None
182	ошибок	871	None	None
183	.	877	None	None
184	Ну	879	None	None
185	,	881	None	None
186	например	883	None	None
187	,	891	None	None
188	как	893	None	None
189	посолить	897	None	None
190	мороженое	906	None	None
191	на	916	None	None
192	блюдечке	919	None	None
193	и	928	None	None
194	сделать	930	None	None
195	так	938	None	None
196	,	941	None	None
197	что	943	None	None
198	мама	947	coref	2170
199	обязательно	952	None	None
200	за	964	None	None
201	это	967	None	None
202	похвалит	971	None	None
203	и	980	None	None
204	побежит	982	None	None
205	звонить	990	None	None
206	своей	998	coref	2170
207	маме	1004	None	None
208	:	1008	None	None
209			1010	None	None
210	Какая	1012	None	None
211	она	1018	coref	2168
212	у	1022	None	None
213	меня	1024	coref	2170
214	умница	1029	None	None
215	,	1035	None	None
216	как	1037	None	None
217	правильно	1041	None	None
218	держит	1051	None	None
219	ложку	1058	None	None
220	!	1063	None	None
221			1064	None	None
222	Или	1066	None	None
223	положить	1070	None	None
224	пульт	1079	None	None
225	от	1085	None	None
226	телевизора	1088	None	None
227	в	1099	None	None
228	стиральную	1101	None	None
229	машину	1112	None	None
230	и	1119	None	None
231	включить	1121	None	None
232	сушку	1130	None	None
233	(	1136	None	None
234			1137	None	None
235	Мама	1138	None	None
236	!	1142	None	None
237	Она	1144	coref	2168
238	уже	1148	None	None
239	разобралась	1152	None	None
240	с	1164	None	None
241	такой	1166	None	None
242	сложной	1172	None	None
243	техникой	1180	None	None
244	!	1188	None	None
245			1189	None	None
246	)	1190	None	None
247	.	1192	None	None
248	Правда	1194	None	None
249	,	1200	None	None
250	я	1202	coref	2168
251	допускаю	1204	None	None
252	,	1212	None	None
253	что	1214	None	None
254	иногда	1218	None	None
255	и	1225	None	None
256	являюсь	1227	None	None
257	источником	1235	None	None
258	разных	1246	None	None
259	неприятностей	1253	None	None
260	для	1267	None	None
261	родителей	1271	None	None
262	.	1280	None	None
263	Однажды	1282	None	None
264	моя	1290	coref	2168
265	мама	1294	coref	2170
266	пошла	1299	None	None
267	в	1305	None	None
268			1307	None	None
269	Ленинку	1308	None	None
270			1315	None	None
271	(	1317	None	None
272	я	1318	coref	2168
273	думаю	1320	None	None
274	,	1325	None	None
275	что	1327	None	None
276	это	1331	None	None
277	место	1335	None	None
278	,	1340	None	None
279	где	1342	None	None
280	собираются	1346	None	None
281	Лены	1357	None	None
282	-	1362	None	None
283	-	1362	None	None
284	ведь	1366	None	None
285	так	1371	None	None
286	зовут	1375	None	None
287	мою	1381	coref	2168
288	маму	1385	coref	2170
289	)	1389	None	None
290	,	1390	None	None
291	но	1392	None	None
292	обнаружилось	1395	None	None
293	,	1407	None	None
294	что	1409	None	None
295	в	1413	None	None
296	ее	1415	coref	2170
297	пропуске	1418	None	None
298	аккуратно	1427	None	None
299	выдрана	1437	None	None
300	фотография	1445	None	None
301	.	1455	None	None
302	А	1457	None	None
303	как	1459	None	None
304	-	1462	None	None
305	то	1463	None	None
306	раз	1466	None	None
307	я	1470	coref	2168
308	совершенно	1472	None	None
309	случайно	1483	None	None
310	набрала	1492	None	None
311	по	1500	None	None
312	телефону	1503	None	None
313	номер	1512	None	None
314	02	1518	None	None
315	,	1520	None	None
316	хотя	1522	None	None
317	хотела	1527	None	None
318	набрать	1534	None	None
319	04	1542	None	None
320	.	1544	None	None
321	Но	1546	None	None
322	все	1549	None	None
323	это	1553	None	None
324	бывает	1557	None	None
325	крайне	1564	None	None
326	редко	1571	None	None
327	,	1576	None	None
328	и	1578	None	None
329	меня	1580	coref	2168
330	все	1585	None	None
331	очень	1589	None	None
332	-	1594	None	None
333	очень	1595	None	None
334	любят	1601	None	None
335	,	1606	None	None
336	особенно	1608	None	None
337	те	1617	None	None
338	родственники	1620	coref	2171
339	,	1632	None	None
340	которые	1634	coref	2171
341	меня	1642	coref	2168
342	видят	1647	None	None
343	нечасто	1653	None	None
344	.	1660	None	None
345	По	1662	None	None
346	телефону	1665	None	None
347	я	1674	coref	2168
348	им	1676	coref	2171
349	изображаю	1679	None	None
350	,	1688	None	None
351	как	1690	None	None
352	говорит	1694	None	None
353	собачка	1702	None	None
354	,	1709	None	None
355	кошечка	1711	None	None
356	,	1718	None	None
357	или	1720	None	None
358	пылесос	1724	None	None
