id,word,start_char,type,chain_id
0	Седой	0	None	None
1	старик	6	coref	2172
2	сидел	13	None	None
3	на	19	None	None
4	камне	22	None	None
5	и	28	None	None
6	,	29	None	None
7	словно	31	None	None
8	вглядываясь	38	None	None
9	,	49	None	None
10	смотрел	51	None	None
11	на	59	None	None
12	звезды	62	None	None
13	.	68	None	None
14	Стараясь	70	None	None
15	не	79	None	None
16	нарушить	82	None	None
17	тишины	91	None	None
18	я	98	coref	2173
19	приблизился	100	None	None
20	и	112	None	None
21	сел	114	None	None
22	рядом	118	None	None
23	.	123	None	None
24	Наставник	125	coref	2172
25	едва	135	None	None
26	слышно	140	None	None
27	пошептал	147	None	None
28	:	156	None	None
29			158	None	None
30	А	159	None	None
31	все	161	None	None
32	-	164	None	None
33	таки	165	None	None
34	малмокиане	170	coref	2174
35	были	181	None	None
36	правы	186	None	None
37	...	191	None	None
38			194	None	None
39	Он	195	None	None
40	усмехнулся	198	None	None
41	в	209	None	None
42	бороду	211	None	None
43	и	218	None	None
44	обратил	220	None	None
45	свой	228	coref	2172
46	взор	233	None	None
47	на	238	None	None
48	меня	241	coref	2173
49	:	245	None	None
50			247	None	None
51	Я	248	coref	2172
52	еще	250	None	None
53	не	254	None	None
54	расказывал	257	None	None
55	тебе	268	coref	2173
56	о	273	None	None
57	Малмоке	275	None	None
58	?	282	None	None
59			283	None	None
60	-	285	None	None
61	Нет	287	None	None
62	,	290	None	None
63	учитель	292	coref	2172
64	.	299	None	None
65	-	301	None	None
66	Малмок	303	None	None
67	был	310	None	None
68	одной	314	None	None
69	из	320	None	None
70	редких	323	None	None
71	планет	330	None	None
72	во	337	None	None
73	Вселенной	340	None	None
74	,	349	None	None
75	где	351	None	None
76	зародилась	355	None	None
77	разумная	366	None	None
78	жизнь	375	None	None
79	.	380	None	None
80	Малмокиане	382	coref	2174
81	любили	393	None	None
82	красоту	400	None	None
83	в	408	None	None
84	большей	410	None	None
85	степени	418	None	None
86	чем	426	None	None
87	мы	430	None	None
88	.	432	None	None
89	Они	434	coref	2174
90	не	438	None	None
91	говорили	441	None	None
92	,	449	None	None
93	но	451	None	None
94	пели	454	None	None
95	.	458	None	None
96	Это	460	None	None
97	была	464	None	None
98	очень	469	None	None
99	красивая	475	None	None
100	,	483	None	None
101	гармоничная	485	None	None
102	раса	497	coref	2174
103	.	501	None	None
104	По	503	None	None
105	людским	506	None	None
106	меркам	514	None	None
107	они	521	coref	2174
108	были	525	None	None
109	высоки	530	None	None
110	и	537	None	None
111	очень	539	None	None
112	стройны	545	None	None
113	.	552	None	None
114	Они	554	coref	2174
115	слушали	558	None	None
116	окружающую	566	None	None
117	природу	577	coref	2175
118	,	584	None	None
119	разговаривали	586	None	None
120	с	600	None	None
121	ней	602	coref	2175
122	и	606	None	None
123	внимали	608	None	None
124	ее	616	coref	2175
125	просьбам	619	None	None
126	.	627	None	None
127	В	629	None	None
128	покое	631	None	None
129	и	637	None	None
130	мире	639	None	None
131	они	644	coref	2174
132	спокойно	648	None	None
133	развивались	657	None	None
134	и	669	None	None
135	от	671	None	None
136	века	674	None	None
137	к	679	None	None
138	веку	681	None	None
139	становились	686	None	None
140	все	698	None	None
141	мудрее	702	None	None
142	и	709	None	None
143	умнее	711	None	None
144	.	716	None	None
145	Они	718	coref	2174
146	любили	722	None	None
147	смотреть	729	None	None
148	на	738	None	None
149	звезды	741	None	None
150	,	747	None	None
151	любовались	749	None	None
152	жизнью	760	None	None
153	и	767	None	None
154	пели	769	None	None
155	об	774	None	None
156	этом	777	None	None
157	.	781	None	None
158	Но	783	None	None
159	время	786	None	None
160	шло	792	None	None
161	и	796	None	None
162	их	798	coref	2174
163	Малмокианское	801	None	None
164	солнце	815	None	None
165	старело	822	None	None
166	...	829	None	None
167	Малмокиане	833	coref	2174
168	слишком	844	None	None
169	поздно	852	None	None
170	узнали	859	None	None
171	об	866	None	None
172	этом	869	None	None
173	.	873	None	None
